Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Michael Hussey,27-5-1975,733.0,566.0,129.5,81.0,17.0,14.0,3.0,6.0,0.0,95,52.35,Australia,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,17.0,17.0,Overseas,False
Chris Gayle,21-9-1979,708.0,453.0,156.29,57.0,51.0,12.0,4.0,4.0,1.0,175*,59.0,West Indies,lhb,40.0,10.0,13.33,8.0,10.0,4,57.0,51.0,3.0,3/21,3/21,0.0,0.0,0.0,24.0,RCB,Royal Challengers Bangalore,16.0,16.0,Overseas,False
Virat Kohli,5-11-1988,634.0,457.0,138.73,64.0,22.0,14.0,2.0,6.0,0.0,99,45.28,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,16.0,16.0,Indian,True
Suresh Raina,27-11-1986,548.0,365.0,150.13,50.0,18.0,13.0,4.0,4.0,1.0,100*,42.15,India,lhb,23.0,2.0,23.0,12.0,11.5,2,50.0,18.0,1.0,2/0,2/0,0.0,0.0,0.0,12.0,CSK,Chennai Super Kings,17.0,18.0,Indian,False
Shane Watson,17-6-1981,543.0,380.0,142.89,59.0,22.0,14.0,2.0,2.0,1.0,101,38.78,Australia,rhb,298.0,101.0,22.92,19.23,7.15,41,59.0,22.0,13.0,4/29,4/29,0.0,0.0,0.0,246.0,RR,Rajasthan Royals,16.0,16.0,Overseas,True
Rohit Sharma,30-4-1987,538.0,409.0,131.54,35.0,28.0,14.0,5.0,4.0,0.0,79*,38.42,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,19.0,19.0,Indian,True
Dinesh Karthik,1-6-1985,510.0,411.0,124.08,54.0,14.0,18.0,1.0,2.0,0.0,86,28.33,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,19.0,19.0,Indian,True
Ajinkya Rahane,6-6-1988,488.0,458.0,106.55,42.0,11.0,14.0,4.0,4.0,0.0,68*,34.85,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,18.0,18.0,Indian,True
Rahul Dravid,11-1-1973,471.0,425.0,110.82,64.0,5.0,16.0,1.0,4.0,0.0,65,29.43,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,17.0,18.0,Indian,True
MS Dhoni,7-7-1981,461.0,283.0,162.89,32.0,25.0,11.0,5.0,4.0,0.0,67*,41.9,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,16.0,18.0,Indian,True
