Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Kane Williamson,8-8-1990,735.0,516.0,142.44,64.0,28.0,14.0,3.0,8.0,0.0,84,52.5,New Zealand,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,17.0,17.0,Overseas,True
Rishabh Pant,4-10-1997,684.0,394.0,173.6,68.0,37.0,13.0,1.0,5.0,1.0,128*,52.61,India,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,14.0,14.0,Indian,False
KL Rahul,18-4-1992,659.0,416.0,158.41,66.0,32.0,12.0,2.0,6.0,0.0,95*,54.91,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,True
Ambati Rayudu,23-9-1985,602.0,402.0,149.75,53.0,34.0,14.0,2.0,3.0,1.0,100*,43.0,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,16.0,16.0,Indian,True
Shane Watson,17-6-1981,555.0,359.0,154.59,44.0,35.0,14.0,1.0,2.0,2.0,117*,39.64,Australia,rhb,251.0,57.0,41.83,28.0,8.96,28,44.0,35.0,6.0,4/29,4/29,0.0,0.0,0.0,168.0,CSK,Chennai Super Kings,15.0,15.0,Overseas,True
Jos Buttler,8-9-1990,548.0,353.0,155.24,52.0,21.0,10.0,3.0,5.0,0.0,95*,54.8,England,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,13.0,13.0,Overseas,True
Virat Kohli,5-11-1988,530.0,381.0,139.1,52.0,18.0,11.0,3.0,4.0,0.0,92*,48.18,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,14.0,Indian,True
Suryakumar Yadav,14-9-1990,512.0,384.0,133.33,61.0,16.0,14.0,0.0,4.0,0.0,72,36.57,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,14.0,14.0,Indian,True
Dinesh Karthik,1-6-1985,498.0,337.0,147.77,49.0,16.0,10.0,6.0,2.0,0.0,52,49.8,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,16.0,16.0,Indian,True
Shikhar Dhawan,5-12-1985,497.0,363.0,136.91,59.0,14.0,13.0,3.0,4.0,0.0,92*,38.23,India,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,16.0,16.0,Indian,False
