Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Sachin Tendulkar,24-4-1973,618.0,466.0,132.61,86.0,3.0,13.0,2.0,5.0,0.0,89*,47.53,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,15.0,15.0,Indian,True
Jacques Kallis,16-10-1975,572.0,494.0,115.78,67.0,9.0,12.0,4.0,6.0,0.0,89*,47.66,South Africa,rhb,476.0,118.0,36.61,26.3,8.35,57,67.0,9.0,13.0,3/13,3/13,1.0,0.0,0.0,342.0,RCB,Royal Challengers Bangalore,16.0,16.0,Overseas,True
Suresh Raina,27-11-1986,520.0,364.0,142.85,45.0,22.0,11.0,5.0,4.0,0.0,83*,47.27,India,lhb,178.0,41.0,29.66,23.83,7.46,24,45.0,22.0,6.0,2/0,2/0,0.0,0.0,0.0,144.0,CSK,Chennai Super Kings,16.0,16.0,Indian,False
Sourav Ganguly,8-7-1972,493.0,419.0,117.66,58.0,15.0,13.0,1.0,4.0,0.0,88,37.92,India,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Indian,False
Murali Vijay,1-4-1984,458.0,292.0,156.84,36.0,26.0,13.0,2.0,2.0,1.0,127,35.23,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,15.0,15.0,Indian,True
Mahela Jayawardena,27-5-1977,439.0,298.0,147.31,55.0,11.0,10.0,3.0,1.0,1.0,110*,43.9,Sri Lanka,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,13.0,13.0,Overseas,True
Andrew Symonds,9-6-1975,429.0,341.0,125.8,35.0,18.0,14.0,2.0,4.0,0.0,54,30.64,Australia,rhb,372.0,107.0,31.0,26.5,7.01,53,35.0,18.0,12.0,3/21,3/21,0.0,0.0,0.0,318.0,DEC,Deccan Chargers,16.0,16.0,Overseas,True
Saurabh Tiwary,30-12-1989,419.0,309.0,135.59,29.0,18.0,14.0,1.0,3.0,0.0,61,29.92,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,15.0,16.0,Indian,False
Rohit Sharma,30-4-1987,404.0,302.0,133.77,36.0,14.0,14.0,2.0,3.0,0.0,73,28.85,India,rhb,153.0,33.0,76.5,57.0,8.05,19,36.0,14.0,2.0,4/6,4/6,0.0,0.0,0.0,114.0,DEC,Deccan Chargers,16.0,16.0,Indian,True
Naman Ojha,20-7-1983,377.0,285.0,132.28,42.0,15.0,12.0,2.0,2.0,0.0,94*,31.41,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,14.0,14.0,Indian,True
Robin Uthappa,11-11-1985,374.0,218.0,171.55,21.0,27.0,12.0,2.0,3.0,0.0,68*,31.16,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,16.0,Indian,True
Kumar Sangakkara,27-10-1977,357.0,257.0,138.91,47.0,5.0,12.0,0.0,2.0,0.0,56,29.75,Sri Lanka,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,12.0,13.0,Overseas,False
Ambati Rayudu,23-9-1985,356.0,246.0,144.71,34.0,13.0,13.0,1.0,2.0,0.0,55*,27.38,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,14.0,14.0,Indian,True
Virender Sehwag,20-10-1978,356.0,218.0,163.3,47.0,14.0,14.0,0.0,3.0,0.0,75,25.42,India,rhb,23.0,18.0,7.66,11.33,4.05,5,47.0,14.0,3.0,2/18,2/18,0.0,0.0,0.0,30.0,DC,Delhi Capitals,14.0,14.0,Indian,True
Subramaniam Badrinath,30-8-1980,356.0,303.0,117.49,41.0,5.0,11.0,4.0,2.0,0.0,55*,32.36,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,15.0,16.0,Indian,True
Matthew Hayden,29-10-1971,346.0,279.0,124.01,37.0,16.0,16.0,0.0,1.0,0.0,93,21.62,Australia,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,16.0,16.0,Overseas,False
Yusuf Pathan,17-11-1982,333.0,201.0,165.67,22.0,24.0,12.0,2.0,1.0,1.0,100,27.75,India,rhb,246.0,60.0,49.2,40.8,7.23,34,22.0,24.0,5.0,3/20,3/20,0.0,0.0,0.0,204.0,RR,Rajasthan Royals,14.0,14.0,Indian,True
Tirumalasetti Suman,15-12-1983,307.0,257.0,119.45,23.0,12.0,9.0,5.0,2.0,0.0,78*,34.11,India,rhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,14.0,14.0,Indian,True
Virat Kohli,5-11-1988,307.0,212.0,144.81,26.0,12.0,11.0,2.0,1.0,0.0,58,27.9,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,13.0,16.0,Indian,True
Chris Gayle,21-9-1979,292.0,184.0,158.69,30.0,16.0,9.0,0.0,2.0,0.0,88,32.44,West Indies,lhb,152.0,29.0,38.0,24.0,9.5,16,30.0,16.0,4.0,3/21,3/21,0.0,0.0,0.0,96.0,KKR,Kolkata Knight Riders,9.0,9.0,Overseas,False
