Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Angelo Mathews,2-6-1987,127.0,108.0,117.59,5.0,4.0,7.0,1.0,0.0,0.0,35,18.14,Sri Lanka,rhb,192.0,50.0,27.42,22.28,7.38,26,5.0,4.0,7.0,4/19,4/19,0.0,0.0,0.0,156.0,PWI,Pune Warriors India,8.0,9.0,Overseas,True
Debabrata Das,22-9-1986,126.0,93.0,135.48,9.0,6.0,3.0,7.0,0.0,0.0,35*,42.0,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,10.0,15.0,Indian,True
Marlon Samuels,5-2-1981,124.0,123.0,100.81,7.0,5.0,7.0,1.0,0.0,0.0,46,17.71,West Indies,rhb,216.0,66.0,27.0,21.5,7.53,28,7.0,5.0,8.0,3/39,3/39,0.0,0.0,0.0,168.0,PWI,Pune Warriors India,8.0,8.0,Overseas,True
Mithun Manhas,12-10-1979,120.0,96.0,125.0,10.0,4.0,4.0,3.0,0.0,0.0,42*,30.0,India,rhb,,,,,,,,,,,,,,,,PWI,Pune Warriors India,7.0,10.0,Indian,True
Daniel Harris,31-12-1979,111.0,101.0,109.9,11.0,5.0,4.0,0.0,0.0,0.0,47,27.75,Australia,rhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,4.0,4.0,Overseas,True
Harbhajan Singh,3-7-1980,108.0,80.0,135.0,14.0,3.0,9.0,2.0,0.0,0.0,33,12.0,India,rhb,384.0,117.0,64.0,54.0,7.11,54,14.0,3.0,6.0,5/18,5/18,1.0,0.0,0.0,324.0,MI,Mumbai Indians,11.0,17.0,Indian,True
Albie Morkel,10-6-1981,107.0,68.0,157.35,5.0,6.0,7.0,5.0,0.0,0.0,28,15.28,South Africa,lhb,385.0,118.0,29.61,22.84,7.77,49,5.0,6.0,13.0,4/32,4/32,0.0,0.0,0.0,294.0,CSK,Chennai Super Kings,12.0,16.0,Overseas,False
Piyush Chawla,24-12-1988,106.0,88.0,120.45,9.0,4.0,8.0,4.0,0.0,0.0,21*,13.25,India,lhb,419.0,124.0,26.18,21.37,7.35,57,9.0,4.0,16.0,4/17,4/17,1.0,0.0,0.0,342.0,PBKS,Punjab Kings,12.0,16.0,Indian,False
David Miller,10-6-1989,98.0,75.0,130.66,6.0,4.0,3.0,3.0,0.0,0.0,34*,32.66,South Africa,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,6.0,6.0,Overseas,False
Michael Clarke,2-4-1981,98.0,93.0,105.37,12.0,0.0,6.0,0.0,0.0,0.0,41,16.33,Australia,rhb,67.0,22.0,33.5,33.0,6.09,11,12.0,0.0,2.0,1/12,1/12,0.0,0.0,0.0,66.0,PWI,Pune Warriors India,6.0,6.0,Overseas,True
Shakib Al Hasan,24-3-1987,91.0,74.0,122.97,6.0,3.0,6.0,1.0,0.0,0.0,42,15.16,Bangladesh,lhb,195.0,68.0,16.25,15.0,6.5,30,6.0,3.0,12.0,3/17,3/17,0.0,0.0,0.0,180.0,KKR,Kolkata Knight Riders,7.0,8.0,Overseas,False
Stuart Binny,3-6-1984,90.0,67.0,134.32,9.0,3.0,4.0,2.0,0.0,0.0,30,22.5,India,rhb,78.0,15.0,26.0,20.0,7.8,10,9.0,3.0,3.0,2/14,2/14,0.0,0.0,0.0,60.0,RR,Rajasthan Royals,6.0,8.0,Indian,True
Anustup Majumdar,30-4-1984,87.0,76.0,114.47,7.0,2.0,4.0,0.0,0.0,0.0,31,21.75,India,rhb,,,,,,,,,,,,,,,,PWI,Pune Warriors India,4.0,4.0,Indian,True
Gurkeerat Mann Singh,29-6-1990,86.0,52.0,165.38,12.0,2.0,3.0,1.0,0.0,0.0,29*,28.66,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,4.0,5.0,Indian,True
Richard Levi,14-1-1988,83.0,73.0,113.69,10.0,4.0,6.0,0.0,1.0,0.0,50,13.83,South Africa,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,6.0,6.0,Overseas,True
Herschelle Gibbs,23-2-1974,81.0,88.0,92.04,8.0,2.0,2.0,1.0,1.0,0.0,66*,40.5,South Africa,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,3.0,3.0,Overseas,True
Laxmi Ratan Shukla,6-5-1981,75.0,57.0,131.57,4.0,5.0,6.0,2.0,0.0,0.0,26,12.5,India,rhb,12.0,5.0,12.0,12.0,6.0,2,4.0,5.0,1.0,3/25,3/25,0.0,0.0,0.0,12.0,KKR,Kolkata Knight Riders,8.0,11.0,Indian,True
Akshath Reddy,11-2-1991,73.0,59.0,123.72,6.0,2.0,3.0,0.0,0.0,0.0,42,24.33,India,rhb,32.0,3.0,32.0,18.0,10.66,3,6.0,2.0,1.0,1/32,1/32,0.0,0.0,0.0,18.0,DEC,Deccan Chargers,3.0,5.0,Indian,True
Bipul Sharma,28-9-1983,72.0,47.0,153.19,6.0,3.0,3.0,1.0,0.0,0.0,35*,24.0,India,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,4.0,5.0,Indian,False
Shreevats Goswami,18-5-1989,69.0,67.0,102.98,4.0,1.0,5.0,1.0,0.0,0.0,24,13.8,India,lhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,6.0,11.0,Indian,False
Vinay Kumar,12-2-1984,68.0,62.0,109.67,3.0,2.0,5.0,2.0,0.0,0.0,25,13.6,India,rhb,480.0,123.0,25.26,17.63,8.59,56,3.0,2.0,19.0,4/40,4/40,0.0,0.0,0.0,336.0,RCB,Royal Challengers Bangalore,7.0,15.0,Indian,True
Siddharth Chitnis,6-5-1987,66.0,62.0,106.45,7.0,1.0,3.0,1.0,0.0,0.0,38,22.0,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,4.0,6.0,Indian,True
Johan Botha,2-5-1982,58.0,54.0,107.4,4.0,1.0,4.0,3.0,0.0,0.0,14*,14.5,South Africa,rhb,297.0,87.0,33.0,27.33,7.24,41,4.0,1.0,9.0,3/6,3/6,0.0,0.0,0.0,246.0,RR,Rajasthan Royals,7.0,11.0,Overseas,True
Aaron Finch,17-11-1986,55.0,51.0,107.84,8.0,0.0,2.0,0.0,0.0,0.0,30,27.5,Australia,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,2.0,2.0,Overseas,True
Lasith Malinga,28-8-1983,55.0,53.0,103.77,4.0,3.0,6.0,0.0,0.0,0.0,17,9.16,Sri Lanka,rhb,350.0,145.0,15.9,15.13,6.3,55,4.0,3.0,22.0,5/13,5/13,1.0,1.0,0.0,330.0,MI,Mumbai Indians,6.0,14.0,Overseas,True
Callum Ferguson,21-11-1984,50.0,63.0,79.36,3.0,0.0,4.0,0.0,0.0,0.0,23,12.5,Australia,rhb,,,,,,,,,,,,,,,,PWI,Pune Warriors India,4.0,4.0,Overseas,True
Andre Russell,29-4-1988,47.0,26.0,180.76,3.0,3.0,2.0,0.0,0.0,0.0,31,23.5,West Indies,rhb,161.0,28.0,161.0,96.0,10.06,16,3.0,3.0,1.0,5/15,5/15,0.0,0.0,0.0,96.0,DC,Delhi Capitals,2.0,4.0,Overseas,True
Andrew McDonald,5-6-1981,47.0,35.0,134.28,6.0,2.0,2.0,1.0,0.0,0.0,30,23.5,Australia,rhb,61.0,18.0,12.2,12.0,6.1,10,6.0,2.0,5.0,2/25,2/25,0.0,0.0,0.0,60.0,RCB,Royal Challengers Bangalore,3.0,4.0,Overseas,True
Abhishek Nayar,8-10-1983,45.0,49.0,91.83,2.0,1.0,3.0,1.0,0.0,0.0,24,15.0,India,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,4.0,4.0,Indian,False
Brett Lee,8-11-1976,42.0,20.0,210.0,2.0,4.0,2.0,1.0,0.0,0.0,25,21.0,Australia,rhb,299.0,99.0,42.71,32.57,7.86,38,2.0,4.0,7.0,3/15,3/15,1.0,0.0,0.0,228.0,KKR,Kolkata Knight Riders,3.0,10.0,Overseas,True
Bhuvneshwar Kumar,5-2-1990,40.0,40.0,100.0,4.0,0.0,3.0,6.0,0.0,0.0,11*,13.33,India,rhb,281.0,86.0,35.12,29.25,7.2,39,4.0,0.0,8.0,5/19,5/19,0.0,0.0,0.0,234.0,PWI,Pune Warriors India,9.0,11.0,Indian,True
Kevon Cooper,16-2-1989,38.0,20.0,190.0,3.0,3.0,2.0,2.0,0.0,0.0,14,19.0,West Indies,rhb,174.0,52.0,17.4,14.4,7.25,24,3.0,3.0,10.0,4/26,4/26,1.0,1.0,0.0,144.0,RR,Rajasthan Royals,4.0,6.0,Overseas,True
Bharat Chipli,27-1-1983,37.0,35.0,105.71,3.0,2.0,3.0,1.0,0.0,0.0,25*,12.33,India,rhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,4.0,5.0,Indian,True
Unmukt Chand,26-3-1993,36.0,34.0,105.88,2.0,3.0,2.0,0.0,0.0,0.0,18,18.0,United States of America,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,2.0,2.0,Overseas,True
Pawan Negi,6-1-1993,36.0,29.0,124.13,4.0,1.0,2.0,2.0,0.0,0.0,14,18.0,India,lhb,152.0,49.0,21.71,18.85,6.9,22,4.0,1.0,7.0,4/18,4/18,0.0,1.0,0.0,132.0,DC,Delhi Capitals,4.0,8.0,Indian,False
Ashish Reddy,24-2-1991,35.0,29.0,120.68,3.0,1.0,4.0,2.0,0.0,0.0,10*,8.75,India,rhb,205.0,52.0,20.5,14.5,8.48,24,3.0,1.0,10.0,3/25,3/25,0.0,0.0,0.0,144.0,DEC,Deccan Chargers,6.0,9.0,Indian,True
Praveen Kumar,2-10-1986,35.0,30.0,116.66,2.0,1.0,3.0,4.0,0.0,0.0,10,11.66,India,rhb,434.0,168.0,48.22,42.0,6.88,63,2.0,1.0,9.0,3/18,3/18,2.0,0.0,0.0,378.0,PBKS,Punjab Kings,7.0,16.0,Indian,True
Rajat Bhatia,22-10-1979,35.0,28.0,125.0,4.0,0.0,3.0,3.0,0.0,0.0,12,11.66,India,rhb,389.0,83.0,29.92,24.53,7.31,53,4.0,0.0,13.0,4/15,4/15,0.0,0.0,0.0,318.0,KKR,Kolkata Knight Riders,6.0,17.0,Indian,True
Robin Peterson,4-8-1979,32.0,30.0,106.66,3.0,1.0,3.0,2.0,0.0,0.0,16*,10.66,South Africa,lhb,70.0,21.0,23.33,16.0,8.75,8,3.0,1.0,3.0,3/37,3/37,0.0,0.0,0.0,48.0,MI,Mumbai Indians,5.0,5.0,Overseas,False
Daniel Vettori,27-1-1979,31.0,26.0,119.23,3.0,1.0,4.0,2.0,0.0,0.0,20,7.75,New Zealand,lhb,236.0,66.0,47.2,42.0,6.74,35,3.0,1.0,5.0,3/15,3/15,0.0,0.0,0.0,210.0,RCB,Royal Challengers Bangalore,6.0,9.0,Overseas,False
Paul Valthaty,7-12-1983,30.0,51.0,58.82,4.0,0.0,6.0,0.0,0.0,0.0,13,5.0,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,6.0,6.0,Indian,True
