Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Jos Buttler,8-9-1990,863.0,579.0,149.05,83.0,45.0,15.0,2.0,4.0,4.0,116,57.53,England,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,17.0,17.0,Overseas,True
K L Rahul,18-4-1992,616.0,455.0,135.38,45.0,30.0,12.0,3.0,4.0,2.0,103*,51.33,India,rhb,,,,,,,,,,,,,,,,LSG,Lucknow Super Giants,15.0,15.0,Indian,True
Quinton De Kock,17-12-1992,508.0,341.0,148.97,47.0,23.0,14.0,1.0,3.0,1.0,140*,36.29,South Africa,lhb,,,,,,,,,,,,,,,,LSG,Lucknow Super Giants,15.0,15.0,Overseas,False
Hardik Pandya,11-10-1993,487.0,371.0,131.26,49.0,12.0,11.0,4.0,4.0,0.0,87*,44.27,India,rhb,222.0,76.0,27.75,22.87,7.27,30.3,21.0,6.0,8.0,17/3,17/3,0.0,0.0,0.0,183.0,GT,Gujarat Titans,15.0,15.0,Indian,True
Shubman Gill,8-9-1999,483.0,365.0,132.32,51.0,11.0,14.0,2.0,4.0,0.0,96,34.50,India,rhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,16.0,16.0,Indian,True
David Miller,10-6-1989,481.0,337.0,142.72,32.0,23.0,7.0,9.0,2.0,0.0,94*,68.71,South Africa,lhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,16.0,16.0,Overseas,False
Faf Du Plessis,13-7-1984,468.0,367.0,127.52,49.0,13.0,15.0,1.0,3.0,0.0,96,31.20,South Africa,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,16.0,16.0,Overseas,True
Shikhar Dhawan,5-12-1985,460.0,375.0,122.66,47.0,12.0,12.0,2.0,3.0,0.0,88*,38.33,India,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,False
Sanju Samson,11-11-1994,458.0,312.0,146.79,43.0,26.0,16.0,1.0,2.0,0.0,55,28.63,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,17.0,17.0,Indian,True
Deepak Hooda,19-4-1995,451.0,330.0,136.66,36.0,18.0,14.0,0.0,4.0,0.0,59,32.21,India,rhb,43.0,5.0,43.0,24.0,10.75,4.0,3.0,3.0,1.0,31/1,31/1,0.0,0.0,0.0,24.0,LSG,Lucknow Super Giants,14.0,15.0,Indian,True
Liam Livingstone,4-8-1993,437.0,240.0,182.08,29.0,34.0,12.0,2.0,4.0,0.0,70,36.42,England,rhb,202.0,38.0,33.66,23.0,8.78,23.0,11.0,10.0,6.0,27/3,27/3,0.0,0.0,0.0,138.0,PBKS,Punjab Kings,14.0,14.0,Overseas,True
David Warner,27-10-1986,432.0,287.0,150.52,52.0,15.0,9.0,3.0,5.0,0.0,92*,48.00,Australia,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,12.0,12.0,Overseas,False
Abhishek Sharma,4-9-2000,426.0,320.0,133.12,47.0,13.0,14.0,0.0,2.0,0.0,75,30.43,India,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,14.0,14.0,Indian,False
Ishan Kishan,18-7-1998,418.0,348.0,120.11,45.0,11.0,13.0,1.0,3.0,0.0,81*,32.15,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,14.0,14.0,Indian,False
Rahul Tripathi,2-3-1991,413.0,261.0,158.23,40.0,20.0,11.0,3.0,3.0,0.0,76,37.55,India,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,14.0,14.0,Indian,True
Shreyas Iyer,6-12-1994,401.0,298.0,134.56,41.0,11.0,13.0,1.0,3.0,0.0,85,30.85,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Indian,True
Tilak Varma,8-11-2002,397.0,303.0,131.02,29.0,16.0,11.0,3.0,2.0,0.0,61,36.09,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,14.0,14.0,Indian,False
Aiden Markram,4-10-1994,381.0,274.0,139.05,25.0,19.0,8.0,4.0,3.0,0.0,68*,47.63,South Africa,rhb,64.0,8.0,64.0,36.0,10.66,6.0,2.0,6.0,1.0,8/1,8/1,0.0,0.0,0.0,36.0,SRH,Sunrisers Hyderabad,12.0,14.0,Overseas,True
Devdutt Padikkal,7-7-2000,376.0,306.0,122.87,40.0,14.0,17.0,0.0,1.0,0.0,54,22.12,India,lhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,17.0,17.0,Indian,False
