Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
KL Rahul,18-4-1992,670.0,518.0,129.34,58.0,23.0,12.0,2.0,5.0,1.0,132*,55.83,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,True
Shikhar Dhawan,5-12-1985,618.0,427.0,144.73,67.0,12.0,14.0,3.0,4.0,2.0,106*,44.14,India,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,17.0,17.0,Indian,False
David Warner,27-10-1986,548.0,407.0,134.64,52.0,14.0,14.0,2.0,4.0,0.0,85*,39.14,Australia,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,16.0,16.0,Overseas,False
Shreyas Iyer,6-12-1994,519.0,421.0,123.27,40.0,16.0,15.0,2.0,3.0,0.0,88*,34.6,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,17.0,17.0,Indian,True
Ishan Kishan,18-7-1998,516.0,354.0,145.76,36.0,30.0,9.0,4.0,4.0,0.0,99,57.33,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,13.0,14.0,Indian,False
Quinton de Kock,17-12-1992,503.0,358.0,140.5,46.0,22.0,14.0,2.0,4.0,0.0,78*,35.92,South Africa,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,16.0,16.0,Overseas,False
Suryakumar Yadav,14-9-1990,480.0,331.0,145.01,61.0,11.0,12.0,3.0,4.0,0.0,79*,40.0,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,15.0,16.0,Indian,True
Devdutt Padikkal,7-7-2000,473.0,379.0,124.8,51.0,8.0,15.0,0.0,5.0,0.0,74,31.53,India,lhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,15.0,15.0,Indian,False
Virat Kohli,5-11-1988,466.0,384.0,121.35,23.0,11.0,11.0,4.0,3.0,0.0,90*,42.36,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,15.0,15.0,Indian,True
AB de Villiers,17-2-1984,454.0,286.0,158.74,33.0,23.0,10.0,4.0,5.0,0.0,73*,45.4,South Africa,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,15.0,Overseas,True
Faf du Plessis,13-7-1984,449.0,319.0,140.75,42.0,14.0,11.0,2.0,4.0,0.0,87*,40.81,South Africa,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,13.0,13.0,Overseas,True
Shubman Gill,8-9-1999,440.0,373.0,117.96,44.0,9.0,13.0,1.0,3.0,0.0,70*,33.84,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Indian,True
Manish Pandey,10-9-1989,425.0,333.0,127.62,35.0,18.0,13.0,2.0,3.0,0.0,83*,32.69,India,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,15.0,16.0,Indian,True
Mayank Agarwal,16-2-1991,424.0,271.0,156.45,44.0,15.0,11.0,0.0,2.0,1.0,106,38.54,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,11.0,11.0,Indian,True
Eoin Morgan,10-9-1986,418.0,302.0,138.41,32.0,24.0,10.0,4.0,1.0,0.0,68*,41.8,England,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Overseas,False
Sanju Samson,11-11-1994,375.0,236.0,158.89,21.0,26.0,13.0,1.0,3.0,0.0,85,28.84,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,14.0,14.0,Indian,True
Ambati Rayudu,23-9-1985,359.0,282.0,127.3,30.0,12.0,9.0,2.0,1.0,0.0,71,39.88,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,11.0,12.0,Indian,True
Nicholas Pooran,2-10-1995,353.0,208.0,169.71,23.0,25.0,10.0,4.0,2.0,0.0,77,35.3,West Indies,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Overseas,False
Nitish Rana,27-12-1993,352.0,254.0,138.58,43.0,12.0,14.0,0.0,3.0,0.0,87,25.14,India,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Indian,False
Marcus Stoinis,16-8-1989,352.0,237.0,148.52,31.0,16.0,14.0,3.0,3.0,0.0,65,25.14,Australia,rhb,283.0,50.0,21.76,13.69,9.53,29,31.0,16.0,13.0,4/15,4/15,0.0,0.0,0.0,174.0,DC,Delhi Capitals,17.0,17.0,Overseas,True
Jonny Bairstow,26-9-1989,345.0,272.0,126.83,31.0,13.0,11.0,0.0,3.0,0.0,97,31.36,England,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,11.0,11.0,Overseas,True
Rishabh Pant,4-10-1997,343.0,301.0,113.95,31.0,9.0,11.0,3.0,1.0,0.0,56,31.18,India,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,14.0,14.0,Indian,False
Rohit Sharma,30-4-1987,332.0,260.0,127.69,27.0,19.0,12.0,0.0,3.0,0.0,80,27.66,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,12.0,12.0,Indian,True
Jos Buttler,8-9-1990,328.0,227.0,144.49,27.0,16.0,10.0,2.0,2.0,0.0,70*,32.8,England,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,12.0,13.0,Overseas,True
Kane Williamson,8-8-1990,317.0,237.0,133.75,26.0,10.0,7.0,4.0,3.0,0.0,67,45.28,New Zealand,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,11.0,12.0,Overseas,True
Steve Smith,2-6-1989,311.0,237.0,131.22,32.0,9.0,12.0,2.0,3.0,0.0,69,25.91,Australia,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,14.0,14.0,Overseas,True
Shane Watson,17-6-1981,299.0,247.0,121.05,33.0,13.0,10.0,1.0,2.0,0.0,83*,29.9,Australia,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,11.0,11.0,Overseas,True
Chris Gayle,21-9-1979,288.0,210.0,137.14,15.0,23.0,7.0,0.0,3.0,0.0,99,41.14,West Indies,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,7.0,7.0,Overseas,False
Ben Stokes,4-6-1991,285.0,200.0,142.5,36.0,7.0,7.0,1.0,1.0,1.0,107*,40.71,England,lhb,154.0,24.0,77.0,45.0,10.26,15,36.0,7.0,2.0,3/15,3/15,0.0,0.0,0.0,90.0,RR,Rajasthan Royals,8.0,8.0,Overseas,False
Hardik Pandya,11-10-1993,281.0,157.0,178.98,14.0,25.0,8.0,5.0,1.0,0.0,60*,35.12,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,13.0,14.0,Indian,True
Aaron Finch,17-11-1986,268.0,241.0,111.2,28.0,8.0,12.0,0.0,1.0,0.0,52,22.33,Australia,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,12.0,12.0,Overseas,True
Kieron Pollard,12-5-1987,268.0,140.0,191.42,15.0,22.0,5.0,7.0,1.0,0.0,60*,53.6,West Indies,rhb,190.0,33.0,47.5,31.5,9.04,21,15.0,22.0,4.0,4/44,4/44,0.0,0.0,0.0,126.0,MI,Mumbai Indians,12.0,16.0,Overseas,True
Rahul Tewatia,20-5-1993,255.0,183.0,139.34,13.0,17.0,6.0,5.0,1.0,0.0,53,42.5,India,lhb,326.0,95.0,32.6,27.6,7.08,46,13.0,17.0,10.0,3/18,3/18,0.0,0.0,0.0,276.0,RR,Rajasthan Royals,11.0,14.0,Indian,False
Ravindra Jadeja,6-12-1988,232.0,135.0,171.85,22.0,11.0,5.0,6.0,1.0,0.0,50,46.4,India,lhb,318.0,56.0,53.0,36.33,8.75,36,22.0,11.0,6.0,5/16,5/16,0.0,0.0,0.0,216.0,CSK,Chennai Super Kings,11.0,14.0,Indian,False
Rahul Tripathi,2-3-1991,230.0,181.0,127.07,21.0,10.0,10.0,1.0,1.0,0.0,81,23.0,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,11.0,11.0,Indian,True
Prithvi Shaw,9-11-1999,228.0,167.0,136.52,27.0,8.0,13.0,0.0,2.0,0.0,66,17.53,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,13.0,13.0,Indian,True
Wriddhiman Saha,24-10-1984,214.0,153.0,139.86,24.0,5.0,3.0,1.0,2.0,0.0,87,71.33,India,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,4.0,4.0,Indian,True
Ruturaj Gaikwad,31-1-1997,204.0,169.0,120.71,16.0,6.0,4.0,2.0,3.0,0.0,72,51.0,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,6.0,6.0,Indian,True
MS Dhoni,7-7-1981,200.0,172.0,116.27,16.0,7.0,8.0,4.0,0.0,0.0,47*,25.0,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,12.0,14.0,Indian,True
Robin Uthappa,11-11-1985,196.0,164.0,119.51,19.0,7.0,12.0,0.0,0.0,0.0,41,16.33,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,12.0,12.0,Indian,True
Sam Curran,3-6-1998,186.0,141.0,131.91,12.0,12.0,8.0,3.0,1.0,0.0,52,23.25,England,lhb,344.0,91.0,26.46,19.38,8.19,42,12.0,12.0,13.0,4/11,4/11,0.0,0.0,0.0,252.0,CSK,Chennai Super Kings,11.0,14.0,Overseas,False
Shimron Hetmyer,26-12-1996,185.0,125.0,148.0,11.0,12.0,8.0,3.0,0.0,0.0,45,23.12,West Indies,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,11.0,12.0,Overseas,False
