BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Morne Morkel,,,DC,Delhi Capitals,16,,16,,0,,453,154,,,18.12,15.12,15.12,,,7.19,63,,,,0,0,,,,,25,,,,4/20,4/20,1,,1,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,15,,15,,156,,324,164,,,13.50,14.79,14.79,,,5.47,59,,,,2,0,,,,,24,,,,5/19,5/19,1,,1,1,,0
Lasith Malinga,,,MI,Mumbai Indians,14,,14,,167,,350,145,,,15.90,15.13,15.13,,,6.30,55,,,,4,3,,,,,22,,,,5/13,5/13,1,,1,0,,0
Umesh Yadav,,,DC,Delhi Capitals,17,,17,,21,,453,145,,,23.84,19.26,19.26,,,7.42,61,,,,0,0,,,,,19,,,,4/24,4/24,2,,0,0,,0
Vinay Kumar,,,RCB,Royal Challengers Bangalore,15,,14,,0,,480,123,,,25.26,17.63,17.63,,,8.59,56,,,,3,2,,,,,19,,,,4/40,4/40,0,,0,0,,0
Dale Steyn,,,DEC,Deccan Chargers,12,,12,,230,,285,138,,,15.83,15.55,15.55,,,6.10,46,,,,0,1,,,,,18,,,,3/11,3/11,2,,0,0,,0
Parvinder Awana,,,PBKS,Punjab Kings,12,,12,,0,,372,112,,,21.88,16.58,16.58,,,7.91,47,,,,0,0,,,,,17,,,,4/34,4/34,0,,1,0,,0
Zaheer Khan,,,RCB,Royal Challengers Bangalore,16,,15,,462,,453,146,,,26.64,21.17,21.17,,,7.55,60,,,,1,0,,,,,17,,,,4/17,4/17,1,,0,0,,0
Kieron Pollard,,,MI,Mumbai Indians,14,,14,,166,,350,85,,,21.87,16.43,16.43,,,7.98,44,,,,15,14,,,,,16,,,,4/44,4/44,0,,1,0,,0
Piyush Chawla,,,PBKS,Punjab Kings,16,,16,,149,,419,124,,,26.18,21.37,21.37,,,7.35,57,,,,9,4,,,,,16,,,,4/17,4/17,1,,0,0,,0
Dwayne Bravo,,,CSK,Chennai Super Kings,19,,18,,93,,461,110,,,30.73,23.06,23.06,,,7.99,57,,,,20,20,,,,,15,,,,4/22,4/22,0,,0,0,,0
Jacques Kallis,,,KKR,Kolkata Knight Riders,17,,16,,0,,403,112,,,26.86,21.60,21.60,,,7.46,54,,,,34,10,,,,,15,,,,3/13,3/13,0,,0,0,,0
Munaf Patel,,,MI,Mumbai Indians,12,,12,,460,,367,123,,,24.46,18.66,18.66,,,7.86,46,,,,0,0,,,,,15,,,,5/21,5/21,2,,2,0,,0
Muttiah Muralitharan,,,RCB,Royal Challengers Bangalore,10,,10,,492,,260,82,,,17.33,16.00,16.00,,,6.50,40,,,,0,0,,,,,15,,,,3/11,3/11,0,,0,0,,0
Azhar Mahmood,,,PBKS,Punjab Kings,11,,11,,0,,329,95,,,23.50,18.28,18.28,,,7.71,42,,,,16,8,,,,,14,,,,3/20,3/20,0,,0,0,,0
Ben Hilfenhaus,,,CSK,Chennai Super Kings,9,,9,,0,,233,103,,,16.64,14.57,14.57,,,6.85,34,,,,0,0,,,,,14,,,,3/27,3/27,2,,0,0,,0
Ravichandran Ashwin,,,CSK,Chennai Super Kings,19,,18,,45,,432,141,,,30.85,28.21,28.21,,,6.56,66,,,,2,0,,,,,14,,,,4/34,4/34,0,,0,0,,0
Albie Morkel,,,CSK,Chennai Super Kings,16,,15,,481,,385,118,,,29.61,22.84,22.84,,,7.77,49,,,,5,6,,,,,13,,,,4/32,4/32,0,,0,0,,0
Amit Mishra,,,DEC,Deccan Chargers,14,,14,,107,,377,89,,,29.00,21.69,21.69,,,8.02,47,,,,1,0,,,,,13,,,,5/17,5/17,0,,0,0,,0
Rajat Bhatia,,,KKR,Kolkata Knight Riders,17,,16,,0,,389,83,,,29.92,24.53,24.53,,,7.31,53,,,,4,0,,,,,13,,,,4/15,4/15,0,,0,0,,0
Siddharth Trivedi,,,RR,Rajasthan Royals,14,,14,,0,,380,90,,,29.23,24.00,24.00,,,7.30,52,,,,0,0,,,,,13,,,,4/25,4/25,1,,1,0,,0
Ravindra Jadeja,,,CSK,Chennai Super Kings,19,,14,,46,,273,65,,,22.75,17.50,17.50,,,7.80,35,,,,13,9,,,,,12,,,,5/16,5/16,0,,0,1,,0
Shakib Al Hasan,,,KKR,Kolkata Knight Riders,8,,8,,222,,195,68,,,16.25,15.00,15.00,,,6.50,30,,,,6,3,,,,,12,,,,3/17,3/17,0,,0,0,,0
Ashish Nehra,,,PWI,Pune Warriors India,13,,13,,0,,402,99,,,36.54,26.18,26.18,,,8.37,48,,,,1,0,,,,,11,,,,4/10,4/10,0,,0,0,,0
Lakshmipathy Balaji,,,KKR,Kolkata Knight Riders,8,,8,,0,,162,84,,,14.72,16.27,16.27,,,5.43,30,,,,0,0,,,,,11,,,,5/24,5/24,1,,1,0,,0
Amit Singh,,,RR,Rajasthan Royals,9,,9,,0,,310,58,,,31.00,19.70,19.70,,,9.44,33,,,,0,0,,,,,10,,,,4/19,4/19,0,,0,0,,0
Ashish Reddy,,,DEC,Deccan Chargers,9,,8,,0,,205,52,,,20.50,14.50,14.50,,,8.48,24,,,,3,1,,,,,10,,,,3/25,3/25,0,,0,0,,0
Brad Hogg,,,RR,Rajasthan Royals,9,,9,,0,,253,73,,,25.30,21.60,21.60,,,7.02,36,,,,1,0,,,,,10,,,,4/29,4/29,0,,0,0,,0
Kevon Cooper,,,RR,Rajasthan Royals,6,,6,,0,,174,52,,,17.40,14.40,14.40,,,7.25,24,,,,3,3,,,,,10,,,,4/26,4/26,1,,1,0,,0
RP Singh,,,MI,Mumbai Indians,11,,11,,0,,318,103,,,31.80,24.60,24.60,,,7.75,41,,,,0,0,,,,,10,,,,4/22,4/22,0,,0,0,,0
