BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Matheesha Pathirana,true,,CSK,Chennai Super Kings,2,60,2,13,2022-100mb00000001014-1f0cfb3dc17911,41,52,20,48.78,28,26.00,20.50,20.50,53.84,5.85,7.60,6.5,13,2,0,7,0,7,0,0,4,2,24,2,24,2,24/2,24/2,0,0,0,0,0,20627
Sandeep Sharma,true,,PBKS,Punjab Kings,5,60,5,15,2019-100mb00000000220-18a6ceb644c011,120,153,60,50.00,66,76.50,60.00,60.00,70.58,5.00,7.65,20.0,34,2,0,18,6,6,0,1,2,2,18,1,18,1,18/1,18/1,0,0,0,0,0,1112
Hrithik Shokeen,true,,MI,Mumbai Indians,5,60,5,17,2022-100mb00000000992-02c884cea44c11,90,127,43,47.77,51,63.50,45.00,45.00,69.29,5.29,8.46,15.0,26,3,1,7,10,4,0,0,3,2,47,2,47,2,47/2,47/2,0,0,0,0,0,20598
Fazalhaq Farooqi,true,,SRH,Sunrisers Hyderabad,3,60,3,20,2022-100mb00000001011-d957ea18a45111,72,110,24,33.33,52,55.00,36.00,36.00,58.18,5.14,9.16,12.0,27,6,1,10,4,4,0,0,0,2,32,2,32,2,32/2,32/2,0,0,0,0,0,20610
Andrew Tye,true,,LSG,Lucknow Super Giants,3,60,3,77,2018-100mb00000000030-d478e5bce99d11,66,107,24,36.36,45,53.50,33.00,33.00,74.76,3.66,9.72,11.0,22,3,0,14,4,3,0,0,6,2,40,2,40,2,40/2,40/2,0,0,0,0,0,1480
Varun Aaron,true,,GT,Gujarat Titans,2,60,2,35,2019-100mb00000000197-139133ea44b911,30,52,7,23.33,26,26.00,15.00,15.00,65.38,3.75,10.40,5.0,15,0,0,7,1,3,0,0,1,2,45,2,45,2,45/2,45/2,0,0,0,0,0,61
Chris Jordan,true,,CSK,Chennai Super Kings,4,60,4,13,2020-100mb00000000519-a0440d96638711,77,135,23,29.87,57,67.50,38.50,38.50,63.70,4.27,10.51,12.5,29,7,1,11,7,1,2,0,1,2,23,2,23,2,23/2,23/2,0,0,0,0,0,1299
Darshan Nalkande,true,,GT,Gujarat Titans,2,60,2,35,2019-100mb00000000127-b2131830449911,31,59,8,25.80,25,29.50,15.50,15.50,64.40,3.87,11.41,5.1,11,4,0,5,3,2,0,0,0,2,37,2,37,2,37/2,37/2,0,0,0,0,0,4447
David Willey,false,,RCB,Royal Challengers Bangalore,4,60,4,19,2019-100mb00000000090-489459ab43eb11,66,72,27,40.90,39,72.00,66.00,66.00,50.00,8.25,6.54,11.0,26,5,0,6,2,0,0,0,3,1,29,1,29,1,29/1,29/1,0,0,0,0,0,2758
Anukul Roy,false,,KKR,Kolkata Knight Riders,2,60,2,16,2019-100mb00000000160-970c8ab644ac11,42,55,11,26.19,31,55.00,42.00,42.00,47.27,8.40,7.85,7.0,23,3,0,2,3,0,0,0,0,1,28,1,28,1,28/1,28/1,0,0,0,0,0,3774
Mayank Markande,true,,MI,Mumbai Indians,2,60,2,17,2019-100mb00000000087-98d4e401342511,42,57,11,26.19,31,57.00,42.00,42.00,56.14,6.00,8.14,7.0,21,4,0,5,2,0,0,4,0,1,26,1,26,1,26/1,26/1,0,0,0,0,0,4951
Tushar Deshpande,false,,CSK,Chennai Super Kings,2,60,2,13,2020-100mb00000000539-04833b65639b11,42,63,18,42.85,25,63.00,42.00,42.00,79.36,3.50,9.00,7.0,10,3,0,11,1,1,0,0,4,1,40,1,40,1,40/1,40/1,0,0,0,0,0,3257
Kartik Tyagi,true,,SRH,Sunrisers Hyderabad,2,60,2,20,2020-100mb00000000536-d64753d7639911,48,79,20,41.66,34,79.00,48.00,48.00,65.82,4.36,9.87,8.0,15,3,0,7,4,4,2,0,0,1,42,1,42,1,42/1,42/1,0,0,0,0,0,10059
Harshit Rana,true,,KKR,Kolkata Knight Riders,2,60,2,16,2022-100mb00000001013-30676520bcc011,30,51,12,40.00,19,51.00,30.00,30.00,74.50,3.75,10.20,5.0,10,1,0,5,3,0,1,0,1,1,24,1,24,1,24/1,24/1,0,0,0,0,0,20626
Aiden Markram,true,,SRH,Sunrisers Hyderabad,14,60,4,20,2019-100mb00000000287-ca1a6bb17ae311,36,64,8,22.22,28,64.00,36.00,36.00,68.75,4.50,10.66,6.0,20,0,0,2,6,0,0,0,0,1,8,1,8,1,8/1,8/1,0,0,0,0,0,1667
Deepak Hooda,true,,LSG,Lucknow Super Giants,15,60,2,77,2019-100mb00000000215-f86e728844bc11,24,43,5,20.83,19,43.00,24.00,24.00,69.76,4.00,10.75,4.0,13,0,0,3,3,0,0,0,0,1,31,1,31,1,31/1,31/1,0,0,0,0,0,1556
Shreyas Gopal,true,,SRH,Sunrisers Hyderabad,1,60,1,20,2019-100mb00000000192-f5e65e7b44b711,18,34,7,38.88,11,34.00,18.00,18.00,82.35,3.60,11.33,3.0,6,0,0,1,4,0,0,0,0,1,34,1,34,1,34/1,34/1,0,0,0,0,0,1748
Fabian Allen,true,,MI,Mumbai Indians,1,60,1,17,2019-100mb00000000264-45c467977adb11,24,46,6,25.00,18,46.00,24.00,24.00,73.91,3.42,11.50,4.0,10,1,0,4,3,0,0,0,0,1,46,1,46,1,46/1,46/1,0,0,0,0,0,1707
Sean Abbott,true,,SRH,Sunrisers Hyderabad,1,60,1,20,2020-100mb00000000551-9bf1053c2ff311,24,47,7,29.16,20,47.00,24.00,24.00,68.08,3.42,11.75,4.0,8,2,0,5,2,3,0,0,0,1,47,1,47,1,47/1,47/1,0,0,0,0,0,942
Riyan Parag,true,,RR,Rajasthan Royals,17,60,4,18,2019-100mb00000000189-ac8c327a44b711,24,59,3,12.50,23,59.00,24.00,24.00,71.18,3.00,14.75,4.0,11,2,0,3,5,2,0,0,0,1,12,1,12,1,12/1,12/1,0,0,0,0,0,4445
Dewald Brevis,true,,MI,Mumbai Indians,7,60,1,17,202265c5509b72a911ec8ab502ab46c,3,8,1,33.33,2,8.00,3.00,3.00,100.00,1.50,16.00,0.3,0,0,0,2,0,0,0,0,0,1,8,1,8,1,8/1,8/1,0,0,0,0,0,20593
