BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Pragyan Ojha,,,DEC,Deccan Chargers,16,,16,,459,,429,134,,,20.42,16.80,16.80,,,7.29,59,,,,0,0,,,,,21,,,,3/11,3/11,0,,0,0,,0
Harbhajan Singh,,,MI,Mumbai Indians,15,,14,,95,,377,102,,,22.17,18.88,18.88,,,7.04,53,,,,12,5,,,,,17,,,,5/18,5/18,1,,0,0,,0
Anil Kumble,,,RCB,Royal Challengers Bangalore,16,,16,,0,,407,151,,,23.94,22.35,22.35,,,6.42,63,,,,0,0,,,,,17,,,,5/5,5/5,0,,1,0,,0
Amit Mishra,,,DC,Delhi Capitals,14,,14,,107,,363,131,,,21.35,18.70,18.70,,,6.84,53,,,,1,0,,,,,17,,,,5/17,5/17,0,,0,0,,0
Vinay Kumar,,,RCB,Royal Challengers Bangalore,14,,14,,0,,396,101,,,24.75,17.31,17.31,,,8.57,46,,,,1,0,,,,,16,,,,4/40,4/40,0,,1,0,,0
Zaheer Khan,,,MI,Mumbai Indians,14,,14,,462,,376,107,,,25.06,19.33,19.33,,,7.77,48,,,,3,1,,,,,15,,,,4/17,4/17,1,,0,0,,0
Dale Steyn,,,RCB,Royal Challengers Bangalore,15,,15,,230,,406,164,,,27.06,23.60,23.60,,,6.88,59,,,,2,0,,,,,15,,,,3/11,3/11,1,,0,0,,0
Irfan Pathan,,,PBKS,Punjab Kings,14,,14,,458,,426,98,,,28.40,18.53,18.53,,,9.19,46,,,,21,10,,,,,15,,,,3/24,3/24,0,,0,0,,0
Kieron Pollard,,,MI,Mumbai Indians,14,,12,,166,,274,58,,,18.26,14.80,14.80,,,7.40,37,,,,23,17,,,,,15,,,,4/44,4/44,0,,0,0,,0
Lasith Malinga,,,MI,Mumbai Indians,13,,13,,167,,344,116,,,22.93,19.60,19.60,,,7.02,49,,,,0,0,,,,,15,,,,5/13,5/13,0,,1,0,,0
Muttiah Muralitharan,,,CSK,Chennai Super Kings,12,,12,,492,,329,121,,,21.93,19.20,19.20,,,6.85,48,,,,0,0,,,,,15,,,,3/11,3/11,0,,0,0,,0
Ryan Harris,,,DEC,Deccan Chargers,8,,8,,0,,233,82,,,16.64,13.14,13.14,,,7.59,30,,,,2,2,,,,,14,,,,4/34,4/34,0,,0,0,,0
Ravichandran Ashwin,,,CSK,Chennai Super Kings,12,,12,,45,,293,125,,,22.53,22.15,22.15,,,6.10,48,,,,2,0,,,,,13,,,,4/34,4/34,1,,0,0,,0
RP Singh,,,DEC,Deccan Chargers,12,,12,,0,,370,99,,,28.46,19.38,19.38,,,8.80,42,,,,0,0,,,,,13,,,,4/22,4/22,0,,0,0,,0
Jacques Kallis,,,RCB,Royal Challengers Bangalore,16,,16,,0,,476,118,,,36.61,26.30,26.30,,,8.35,57,,,,67,9,,,,,13,,,,3/13,3/13,1,,0,0,,0
Shadab Jakati,,,CSK,Chennai Super Kings,11,,11,,0,,291,82,,,22.38,17.53,17.53,,,7.65,38,,,,0,0,,,,,13,,,,4/22,4/22,1,,0,0,,0
Piyush Chawla,,,PBKS,Punjab Kings,14,,14,,149,,367,94,,,30.58,24.50,24.50,,,7.48,49,,,,7,0,,,,,12,,,,4/17,4/17,0,,0,0,,0
Doug Bollinger,,,CSK,Chennai Super Kings,8,,8,,0,,207,94,,,17.25,15.50,15.50,,,6.67,31,,,,1,1,,,,,12,,,,4/13,4/13,2,,1,0,,0
Andrew Symonds,,,DEC,Deccan Chargers,16,,16,,0,,372,107,,,31.00,26.50,26.50,,,7.01,53,,,,35,18,,,,,12,,,,3/21,3/21,0,,0,0,,0
Siddharth Trivedi,,,RR,Rajasthan Royals,11,,10,,0,,260,69,,,23.63,19.36,19.36,,,7.32,35,,,,3,1,,,,,11,,,,4/25,4/25,0,,0,0,,0
Shane Warne,,,RR,Rajasthan Royals,14,,14,,0,,381,94,,,34.63,27.27,27.27,,,7.62,50,,,,0,0,,,,,11,,,,4/21,4/21,0,,1,0,,0
Albie Morkel,,,CSK,Chennai Super Kings,14,,14,,481,,405,97,,,36.81,26.00,26.00,,,8.49,47,,,,10,13,,,,,11,,,,4/32,4/32,1,,0,0,,0
Shaun Tait,,,RR,Rajasthan Royals,8,,8,,0,,264,70,,,26.40,18.70,18.70,,,8.47,31,,,,0,1,,,,,10,,,,3/13,3/13,0,,0,0,,0
Praveen Kumar,,,RCB,Royal Challengers Bangalore,12,,12,,0,,380,110,,,38.00,27.00,27.00,,,8.44,45,,,,0,0,,,,,10,,,,3/18,3/18,0,,0,0,,1
Murali Kartik,,,KKR,Kolkata Knight Riders,10,,10,,0,,253,77,,,28.11,26.00,26.00,,,6.48,39,,,,2,0,,,,,9,,,,3/17,3/17,0,,0,0,,0
Pradeep Sangwan,,,DC,Delhi Capitals,8,,8,,977,,258,71,,,28.66,20.66,20.66,,,8.32,31,,,,0,0,,,,,9,,,,3/18,3/18,0,,0,0,,0
Ashok Dinda,,,KKR,Kolkata Knight Riders,7,,7,,0,,152,64,,,16.88,15.44,15.44,,,6.56,23,,,,0,0,,,,,9,,,,4/18,4/18,0,,0,0,,0
Shane Bond,,,KKR,Kolkata Knight Riders,8,,8,,0,,224,75,,,24.88,20.66,20.66,,,7.22,31,,,,0,0,,,,,9,,,,2/24,2/24,1,,0,0,,0
Chaminda Vaas,,,DEC,Deccan Chargers,6,,6,,493,,139,63,,,15.44,14.66,14.66,,,6.31,22,,,,1,1,,,,,9,,,,3/21,3/21,2,,0,0,,0
Harmeet Singh Bansal,,,DEC,Deccan Chargers,8,,8,,0,,174,60,,,21.75,18.00,18.00,,,7.25,24,,,,0,0,,,,,8,,,,3/24,3/24,0,,0,0,,0
MF Maharoof,,,DC,Delhi Capitals,7,,7,,0,,206,54,,,25.75,18.00,18.00,,,8.58,24,,,,2,2,,,,,8,,,,3/34,3/34,0,,0,0,,0
Angelo Mathews,,,KKR,Kolkata Knight Riders,14,,12,,275,,314,58,,,39.25,28.12,28.12,,,8.37,37,,,,18,8,,,,,8,,,,4/19,4/19,0,,1,0,,0
Dilhara Fernando,,,MI,Mumbai Indians,5,,5,,0,,138,50,,,19.71,16.28,16.28,,,7.26,19,,,,0,0,,,,,7,,,,4/18,4/18,0,,0,0,,0
Ishant Sharma,,,KKR,Kolkata Knight Riders,7,,7,,50,,236,54,,,33.71,21.42,21.42,,,9.44,25,,,,0,0,,,,,7,,,,5/12,5/12,0,,0,0,,0
Lakshmipathy Balaji,,,CSK,Chennai Super Kings,7,,7,,0,,207,50,,,29.57,20.00,20.00,,,8.87,23,,,,1,1,,,,,7,,,,5/24,5/24,0,,0,0,,0
Dirk Nannes,,,DC,Delhi Capitals,9,,9,,0,,224,93,,,32.00,29.42,29.42,,,6.52,34,,,,0,0,,,,,7,,,,3/27,3/27,0,,0,0,,0
Juan Theron,,,PBKS,Punjab Kings,7,,7,,0,,187,44,,,31.16,24.00,24.00,,,7.79,24,,,,0,0,,,,,6,,,,2/17,2/17,0,,0,0,,0
Shane Watson,,,RR,Rajasthan Royals,6,,6,,104,,184,61,,,30.66,22.00,22.00,,,8.36,22,,,,18,9,,,,,6,,,,4/29,4/29,0,,0,0,,0
Umesh Yadav,,,DC,Delhi Capitals,7,,7,,21,,184,55,,,30.66,24.00,24.00,,,7.66,24,,,,0,0,,,,,6,,,,4/24,4/24,0,,0,0,,0
Jaskaran Singh,,,DEC,Deccan Chargers,6,,6,,0,,139,31,,,23.16,14.00,14.00,,,9.92,14,,,,0,0,,,,,6,,,,2/18,2/18,0,,0,0,,0
Ashish Nehra,,,DC,Delhi Capitals,4,,4,,0,,96,37,,,16.00,14.00,14.00,,,6.85,14,,,,2,1,,,,,6,,,,4/10,4/10,0,,0,0,,0
