BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Harshal Patel,,,RCB,Royal Challengers Bangalore,15,,15,,114,,459,122,,,14.34,10.56,10.56,,,8.14,56,,,,6,2,,,,,32,,,,5/27,5/27,0,,1,1,,1
Avesh Khan,,,DC,Delhi Capitals,16,,16,,109,,450,156,,,18.75,15.25,15.25,,,7.37,61,,,,1,0,,,,,24,,,,3/13,3/13,0,,0,0,,0
Jasprit Bumrah,,,MI,Mumbai Indians,14,,14,,9,,410,142,,,19.52,15.71,15.71,,,7.45,55,,,,2,0,,,,,21,,,,4/14,4/14,0,,0,0,,0
Shardul Thakur,,,CSK,Chennai Super Kings,16,,16,,105,,527,137,,,25.09,17.09,17.09,,,8.80,60,,,,0,0,,,,,21,,,,3/19,3/19,1,,0,0,,0
Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,395,145,,,20.78,16.63,16.63,,,7.50,52,,,,0,0,,,,,19,,,,3/15,3/15,1,,0,0,,0
Rashid Khan,,,SRH,Sunrisers Hyderabad,14,,14,,218,,375,130,,,20.83,18.66,18.66,,,6.69,56,,,,9,2,,,,,18,,,,3/19,3/19,0,,0,0,,0
Arshdeep Singh,,,PBKS,Punjab Kings,12,,12,,125,,342,88,,,19.00,13.77,13.77,,,8.27,41,,,,0,0,,,,,18,,,,5/32,5/32,0,,0,1,,0
Varun Chakaravarthy,,,KKR,Kolkata Knight Riders,17,,17,,140,,448,149,,,24.88,22.66,22.66,,,6.58,68,,,,0,0,,,,,18,,,,5/20,5/20,0,,0,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,15,,15,,10,,374,127,,,20.77,17.66,17.66,,,7.05,53,,,,0,0,,,,,18,,,,4/25,4/25,1,,0,0,,0
Jason Holder,,,SRH,Sunrisers Hyderabad,8,,8,,263,,247,75,,,15.43,11.93,11.93,,,7.75,32,,,,2,6,,,,,16,,,,4/52,4/52,0,,1,0,,0
