StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Chris Gayle,126,12,,,,10003,,,RCB,Royal Challengers Bangalore,10003,,,12,,608,332,,183.13,,,,,,,,,,57,44,57,44,9,3,67.55,3,2,,107,67.55,,
Virat Kohli,2,16,,,,10003,,,RCB,Royal Challengers Bangalore,10003,,,16,,557,460,,121.08,,,,,,,,,,55,16,55,16,12,4,46.41,4,0,,71,46.41,,
Sachin Tendulkar,233,16,,,,10003,,,MI,Mumbai Indians,10003,,,16,,553,488,,113.31,,,,,,,,,,67,5,67,5,13,3,42.53,2,1,,100*,42.53,,
Shaun Marsh,41,14,,,,10003,,,PBKS,Punjab Kings,10003,,,13,,504,344,,146.51,,,,,,,,,,52,20,52,20,12,1,42.00,4,0,,95,42.00,,
Michael Hussey,0,14,,,,10003,,,CSK,Chennai Super Kings,10003,,,14,,492,414,,118.84,,,,,,,,,,53,6,53,6,12,2,41.00,4,0,,83*,41.00,,
Paul Valthaty,0,14,,,,10003,,,PBKS,Punjab Kings,10003,,,14,,463,338,,136.98,,,,,,,,,,56,20,56,20,13,1,35.61,2,1,,120*,35.61,,
Suresh Raina,106,16,,,,10003,,,CSK,Chennai Super Kings,10003,,,16,,438,325,,134.76,,,,,,,,,,36,17,36,17,14,2,31.28,4,0,,73*,31.28,,
Murali Vijay,53,16,,,,10003,,,CSK,Chennai Super Kings,10003,,,16,,434,339,,128.02,,,,,,,,,,34,20,34,20,16,0,27.12,3,0,,95,27.12,,
Virender Sehwag,461,11,,,,10003,,,DC,Delhi Capitals,10003,,,11,,424,240,,176.66,,,,,,,,,,51,18,51,18,11,0,38.54,2,1,,119,38.54,,
Jacques Kallis,0,15,,,,10003,,,KKR,Kolkata Knight Riders,10003,,,14,,424,378,,112.16,,,,,,,,,,46,6,46,6,12,2,35.33,4,0,,80*,35.33,,
Shikhar Dhawan,11,14,,,,10003,,,DEC,Deccan Chargers,10003,,,14,,400,310,,129.03,,,,,,,,,,47,7,47,7,12,2,33.33,2,0,,95*,33.33,,
Subramaniam Badrinath,0,16,,,,10003,,,CSK,Chennai Super Kings,10003,,,13,,396,313,,126.51,,,,,,,,,,38,9,38,9,7,6,56.57,5,0,,71*,56.57,,
Ambati Rayudu,60,16,,,,10003,,,MI,Mumbai Indians,10003,,,16,,395,350,,112.85,,,,,,,,,,44,9,44,9,14,2,28.21,4,0,,63*,28.21,,
MS Dhoni,57,16,,,,10003,,,CSK,Chennai Super Kings,10003,,,13,,392,247,,158.70,,,,,,,,,,25,23,25,23,9,4,43.55,2,0,,70*,43.55,,
Adam Gilchrist,0,14,,,,10003,,,PBKS,Punjab Kings,10003,,,14,,383,295,,129.83,,,,,,,,,,41,18,41,18,14,0,27.35,2,1,,106,27.35,,
Gautam Gambhir,0,15,,,,10003,,,KKR,Kolkata Knight Riders,10003,,,15,,378,317,,119.24,,,,,,,,,,44,3,44,3,11,4,34.36,2,0,,75*,34.36,,
Rohit Sharma,6,16,,,,10003,,,MI,Mumbai Indians,10003,,,14,,372,297,,125.25,,,,,,,,,,32,13,32,13,11,3,33.81,3,0,,87,33.81,,
Manoj Tiwary,0,15,,,,10003,,,KKR,Kolkata Knight Riders,10003,,,14,,359,325,,110.46,,,,,,,,,,26,14,26,14,7,7,51.28,1,0,,61*,51.28,,
Kumar Sangakkara,0,13,,,,10003,,,DEC,Deccan Chargers,10003,,,13,,358,293,,122.18,,,,,,,,,,44,5,44,5,13,0,27.53,1,0,,65,27.53,,
Brendon McCullum,0,13,,,,10003,,,KTK,Kochi Tuskers Kerala,10003,,,13,,357,275,,129.81,,,,,,,,,,35,16,35,16,13,0,27.46,1,0,,81,27.46,,
Rahul Dravid,0,12,,,,10003,,,RR,Rajasthan Royals,10003,,,12,,343,314,,109.23,,,,,,,,,,45,2,45,2,11,1,31.18,1,0,,66,31.18,,
Yuvraj Singh,175,14,,,,10003,,,PWI,Pune Warriors India,10003,,,13,,343,261,,131.41,,,,,,,,,,24,18,24,18,10,3,34.30,2,0,,66*,34.30,,
Venugopal Rao,0,14,,,,10003,,,DC,Delhi Capitals,10003,,,14,,336,280,,120.00,,,,,,,,,,30,13,30,13,12,2,28.00,1,0,,60,28.00,,
Shane Watson,104,11,,,,10003,,,RR,Rajasthan Royals,10003,,,11,,330,253,,130.43,,,,,,,,,,31,17,31,17,10,1,33.00,1,0,,89*,33.00,,
David Warner,214,13,,,,10003,,,DC,Delhi Capitals,10003,,,13,,324,276,,117.39,,,,,,,,,,34,11,34,11,13,0,24.92,3,0,,77,24.92,,
AB de Villiers,198,16,,,,10003,,,RCB,Royal Challengers Bangalore,10003,,,13,,312,243,,128.39,,,,,,,,,,21,14,21,14,9,4,34.66,2,0,,65,34.66,,
Mahela Jayawardena,0,13,,,,10003,,,KTK,Kochi Tuskers Kerala,10003,,,13,,299,257,,116.34,,,,,,,,,,35,5,35,5,13,0,23.00,3,0,,76,23.00,,
Jesse Ryder,0,13,,,,10003,,,PWI,Pune Warriors India,10003,,,13,,292,197,,148.22,,,,,,,,,,37,11,37,11,13,0,22.46,2,0,,60,22.46,,
