BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Imran Tahir,,,CSK,Chennai Super Kings,17,,17,,96,,431,149,,,16.57,14.84,14.84,,,6.69,64,,,,0,0,,,,,26,,,,4/12,4/12,1,,2,0,,0
Kagiso Rabada,,,DC,Delhi Capitals,12,,12,,116,,368,113,,,14.72,11.28,11.28,,,7.82,47,,,,0,1,,,,,25,,,,4/21,4/21,0,,2,0,,0
Deepak Chahar,,,CSK,Chennai Super Kings,17,,17,,91,,482,190,,,21.90,17.59,17.59,,,7.47,64,,,,1,0,,,,,22,,,,4/13,4/13,2,,0,0,,0
Shreyas Gopal,,,RR,Rajasthan Royals,14,,14,,192,,347,107,,,17.35,14.40,14.40,,,7.22,48,,,,8,1,,,,,20,,,,4/16,4/16,1,,0,0,,1
Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,469,119,,,24.68,17.05,17.05,,,8.68,54,,,,0,0,,,,,19,,,,3/15,3/15,0,,0,0,,0
Khaleel Ahmed,,,SRH,Sunrisers Hyderabad,9,,9,,8,,287,87,,,15.10,11.00,11.00,,,8.23,35,,,,0,0,,,,,19,,,,3/21,3/21,0,,0,0,,0
Jasprit Bumrah,,,MI,Mumbai Indians,16,,16,,9,,409,169,,,21.52,19.47,19.47,,,6.63,61,,,,0,0,,,,,19,,,,4/14,4/14,1,,0,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,14,,14,,10,,386,117,,,21.44,16.44,16.44,,,7.82,49,,,,0,0,,,,,18,,,,4/25,4/25,1,,1,0,,0
Rashid Khan,,,SRH,Sunrisers Hyderabad,15,,15,,218,,377,166,,,22.17,21.17,21.17,,,6.28,60,,,,2,2,,,,,17,,,,3/19,3/19,1,,0,0,,0
Lasith Malinga,,,MI,Mumbai Indians,12,,12,,167,,438,91,,,27.37,16.81,16.81,,,9.76,45,,,,0,0,,,,,16,,,,5/13,5/13,0,,2,0,,0
Harbhajan Singh,,,CSK,Chennai Super Kings,11,,11,,95,,312,117,,,19.50,16.50,16.50,,,7.09,44,,,,0,0,,,,,16,,,,5/18,5/18,1,,0,0,,0
Ravichandran Ashwin,,,PBKS,Punjab Kings,14,,14,,45,,400,100,,,26.66,22.00,22.00,,,7.27,55,,,,3,3,,,,,15,,,,4/34,4/34,0,,0,0,,0
Ravindra Jadeja,,,CSK,Chennai Super Kings,16,,16,,46,,343,128,,,22.86,21.60,21.60,,,6.35,54,,,,7,4,,,,,15,,,,5/16,5/16,1,,0,0,,0
Hardik Pandya,,,MI,Mumbai Indians,16,,16,,54,,390,94,,,27.85,18.21,18.21,,,9.17,42,,,,28,29,,,,,14,,,,3/20,3/20,0,,0,0,,0
Chris Morris,,,DC,Delhi Capitals,9,,9,,112,,306,68,,,23.53,15.23,15.23,,,9.27,33,,,,1,2,,,,,13,,,,4/23,4/23,0,,0,0,,0
Rahul Chahar,,,MI,Mumbai Indians,13,,13,,171,,308,125,,,23.69,21.69,21.69,,,6.55,47,,,,2,0,,,,,13,,,,4/27,4/27,0,,0,0,,0
Ishant Sharma,,,DC,Delhi Capitals,13,,13,,50,,349,122,,,26.84,21.23,21.23,,,7.58,46,,,,1,1,,,,,13,,,,5/12,5/12,1,,0,0,,0
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,15,,15,,15,,461,168,,,35.46,27.23,27.23,,,7.81,59,,,,1,0,,,,,13,,,,5/19,5/19,1,,0,0,,0
Krunal Pandya,,,MI,Mumbai Indians,16,,16,,17,,335,94,,,27.91,23.00,23.00,,,7.28,46,,,,18,5,,,,,12,,,,3/14,3/14,0,,0,0,,0
Sandeep Sharma,,,SRH,Sunrisers Hyderabad,11,,11,,220,,352,82,,,29.33,21.33,21.33,,,8.25,42,,,,1,0,,,,,12,,,,4/20,4/20,0,,0,0,,0
Dwayne Bravo,,,CSK,Chennai Super Kings,12,,12,,93,,330,74,,,30.00,22.45,22.45,,,8.01,41,,,,6,3,,,,,11,,,,4/22,4/22,0,,0,0,,0
Amit Mishra,,,DC,Delhi Capitals,11,,11,,107,,270,83,,,24.54,21.81,21.81,,,6.75,40,,,,2,0,,,,,11,,,,5/17,5/17,0,,0,0,,0
Andre Russell,,,KKR,Kolkata Knight Riders,14,,12,,141,,287,61,,,26.09,16.45,16.45,,,9.51,30,,,,31,52,,,,,11,,,,5/15,5/15,0,,0,0,,0
Navdeep Saini,,,RCB,Royal Challengers Bangalore,13,,13,,207,,397,141,,,36.09,26.18,26.18,,,8.27,48,,,,0,0,,,,,11,,,,2/24,2/24,0,,0,0,,0
Jofra Archer,,,RR,Mumbai Indians,11,,11,,181,,291,121,,,26.45,23.45,23.45,,,6.76,43,,,,4,4,,,,,11,,,,3/15,3/15,2,,0,0,,0
Sam Curran,,,PBKS,Punjab Kings,9,,9,,138,,323,60,,,32.30,19.80,19.80,,,9.78,33,,,,13,3,,,,,10,,,,4/11,4/11,0,,1,0,,1
Axar Patel,,,DC,Delhi Capitals,14,,14,,110,,364,110,,,36.40,30.60,30.60,,,7.13,51,,,,10,3,,,,,10,,,,4/21,4/21,0,,0,0,,0
Piyush Chawla,,,KKR,Kolkata Knight Riders,13,,13,,149,,399,87,,,39.90,26.70,26.70,,,8.96,44,,,,4,2,,,,,10,,,,4/17,4/17,0,,0,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,12,,12,,156,,347,96,,,34.70,26.60,26.60,,,7.82,44,,,,17,9,,,,,10,,,,5/19,5/19,1,,0,0,,0
Jaydev Unadkat,,,RR,Mumbai Indians,11,,11,,180,,398,58,,,39.80,22.40,22.40,,,10.66,37,,,,0,0,,,,,10,,,,5/25,5/25,0,,0,0,,0
Keemo Paul,,,DC,Delhi Capitals,8,,8,,117,,237,54,,,26.33,18.11,18.11,,,8.72,27,,,,1,1,,,,,9,,,,3/17,3/17,0,,0,0,,0
Shardul Thakur,,,CSK,Chennai Super Kings,10,,9,,105,,281,65,,,35.12,22.50,22.50,,,9.36,30,,,,1,1,,,,,8,,,,3/19,3/19,0,,0,0,,0
Mohammad Nabi,,,SRH,Sunrisers Hyderabad,8,,8,,217,,194,69,,,24.25,21.87,21.87,,,6.65,29,,,,8,7,,,,,8,,,,4/11,4/11,0,,1,0,,0
Umesh Yadav,,,RCB,Royal Challengers Bangalore,11,,11,,21,,371,88,,,46.37,28.37,28.37,,,9.80,38,,,,3,1,,,,,8,,,,4/24,4/24,0,,0,0,,0
Sandeep Lamichhane,,,DC,Delhi Capitals,6,,6,,121,,210,47,,,26.25,17.25,17.25,,,9.13,23,,,,0,0,,,,,8,,,,3/36,3/36,0,,0,0,,0
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,9,,9,,63,,269,69,,,38.42,24.14,24.14,,,9.55,28,,,,0,0,,,,,7,,,,4/32,4/32,1,,0,0,,0
Harry Gurney,,,KKR,Kolkata Knight Riders,8,,8,,144,,238,51,,,34.00,23.14,23.14,,,8.81,27,,,,0,0,,,,,7,,,,2/25,2/25,0,,0,0,,0
Hardus Viljoen,,,PBKS,Punjab Kings,6,,6,,129,,222,47,,,31.71,19.71,19.71,,,9.65,23,,,,0,0,,,,,7,,,,2/39,2/39,0,,0,0,,0
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,7,,7,,64,,242,56,,,40.33,27.00,27.00,,,8.96,27,,,,0,0,,,,,6,,,,4/29,4/29,0,,0,0,,0
