BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Dwayne Bravo,,,CSK,Chennai Super Kings,17,,16,,93,,426,88,,,16.38,12.07,12.07,,,8.14,52,,,,22,5,,,,,26,,,,4/22,4/22,0,,0,0,,0
Lasith Malinga,,,MI,Mumbai Indians,15,,15,,167,,444,140,,,18.50,15.00,15.00,,,7.40,60,,,,1,0,,,,,24,,,,5/13,5/13,3,,1,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,15,,14,,10,,415,90,,,18.04,12.21,12.21,,,8.86,47,,,,0,0,,,,,23,,,,4/25,4/25,0,,0,0,,0
Ashish Nehra,,,CSK,Chennai Super Kings,16,,16,,0,,449,170,,,20.40,16.90,16.90,,,7.24,62,,,,0,0,,,,,22,,,,4/10,4/10,0,,1,0,,0
Mitchell Starc,,,RCB,Royal Challengers Bangalore,13,,12,,31,,291,105,,,14.55,12.90,12.90,,,6.76,43,,,,1,0,,,,,20,,,,4/15,4/15,1,,1,0,,0
Mitchell McClenaghan,,,MI,Mumbai Indians,12,,12,,0,,386,118,,,21.44,15.66,15.66,,,8.21,47,,,,0,2,,,,,18,,,,4/21,4/21,0,,0,0,,0
Harbhajan Singh,,,MI,Mumbai Indians,15,,15,,95,,446,117,,,24.77,19.00,19.00,,,7.82,57,,,,9,9,,,,,18,,,,5/18,5/18,1,,0,0,,0
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,14,,14,,15,,407,126,,,22.61,17.22,17.22,,,7.87,51,,,,2,1,,,,,18,,,,5/19,5/19,1,,0,0,,0
Harshal Patel,,,RCB,Royal Challengers Bangalore,15,,14,,114,,328,103,,,19.29,15.47,15.47,,,7.48,44,,,,0,2,,,,,17,,,,5/27,5/27,0,,0,0,,0
David Wiese,,,RCB,Royal Challengers Bangalore,14,,13,,674,,353,73,,,22.06,15.87,15.87,,,8.33,42,,,,12,4,,,,,16,,,,4/33,4/33,0,,1,0,,0
Nathan Coulter-Nile,,,DC,Delhi Capitals,11,,11,,5,,321,117,,,21.40,17.00,17.00,,,7.55,42,,,,2,1,,,,,15,,,,4/14,4/14,1,,1,0,,0
Imran Tahir,,,DC,Delhi Capitals,10,,10,,96,,314,64,,,20.93,14.20,14.20,,,8.84,35,,,,0,0,,,,,15,,,,4/12,4/12,0,,1,0,,0
Anureet Singh,,,PBKS,Punjab Kings,14,,14,,0,,465,105,,,31.00,20.66,20.66,,,9.00,51,,,,0,1,,,,,15,,,,3/23,3/23,0,,0,0,,0
Andre Russell,,,KKR,Kolkata Knight Riders,13,,13,,141,,324,94,,,23.14,17.42,17.42,,,7.96,40,,,,35,19,,,,,14,,,,5/15,5/15,0,,0,0,,0
Mohit Sharma,,,CSK,Chennai Super Kings,16,,16,,100,,481,121,,,34.35,24.42,24.42,,,8.43,57,,,,1,2,,,,,14,,,,4/14,4/14,0,,0,0,,0
Axar Patel,,,PBKS,Punjab Kings,14,,14,,110,,392,83,,,30.15,21.53,21.53,,,8.40,46,,,,13,8,,,,,13,,,,4/21,4/21,0,,0,0,,0
Sandeep Sharma,,,PBKS,Punjab Kings,14,,14,,220,,350,142,,,26.92,23.07,23.07,,,7.00,50,,,,1,0,,,,,13,,,,4/20,4/20,4,,1,0,,0
Dhawal Kulkarni,,,RR,Rajasthan Royals,11,,11,,178,,277,95,,,21.30,16.15,16.15,,,7.91,35,,,,0,0,,,,,13,,,,4/14,4/14,1,,0,0,,0
Chris Morris,,,RR,Rajasthan Royals,11,,11,,112,,311,113,,,23.92,19.38,19.38,,,7.40,42,,,,3,5,,,,,13,,,,4/23,4/23,0,,1,0,,0
Moises Henriques,,,SRH,Sunrisers Hyderabad,9,,9,,133,,158,57,,,14.36,13.63,13.63,,,6.32,25,,,,19,13,,,,,11,,,,3/12,3/12,0,,0,0,,0
Piyush Chawla,,,KKR,Kolkata Knight Riders,13,,13,,149,,269,65,,,24.45,19.09,19.09,,,7.68,35,,,,5,2,,,,,11,,,,4/17,4/17,0,,1,0,,0
Ravindra Jadeja,,,CSK,Chennai Super Kings,17,,15,,46,,330,84,,,30.00,23.27,23.27,,,7.73,42,,,,7,3,,,,,11,,,,5/16,5/16,0,,1,0,,0
Ishwar Pandey,,,CSK,Chennai Super Kings,10,,10,,0,,223,93,,,20.27,16.90,16.90,,,7.19,31,,,,0,0,,,,,11,,,,2/23,2/23,2,,0,0,,0
Umesh Yadav,,,KKR,Kolkata Knight Riders,12,,12,,21,,382,92,,,38.20,25.20,25.20,,,9.09,42,,,,5,1,,,,,10,,,,4/24,4/24,0,,0,0,,0
Karn Sharma,,,SRH,Sunrisers Hyderabad,14,,14,,98,,332,65,,,33.20,23.90,23.90,,,8.33,40,,,,3,6,,,,,10,,,,4/16,4/16,0,,0,0,,0
Ravichandran Ashwin,,,CSK,Chennai Super Kings,14,,13,,45,,228,114,,,22.80,23.40,23.40,,,5.84,39,,,,6,1,,,,,10,,,,4/34,4/34,0,,0,0,,0
Jagadeesha Suchith,,,MI,Mumbai Indians,13,,12,,231,,337,70,,,33.70,23.40,23.40,,,8.64,39,,,,4,2,,,,,10,,,,2/14,2/14,0,,0,0,,0
Morne Morkel,,,KKR,Kolkata Knight Riders,7,,7,,0,,206,76,,,20.60,16.80,16.80,,,7.35,28,,,,0,0,,,,,10,,,,4/20,4/20,1,,0,0,,0
Amit Mishra,,,DC,Delhi Capitals,12,,12,,107,,310,75,,,34.44,26.77,26.77,,,7.71,40,,,,0,0,,,,,9,,,,5/17,5/17,0,,0,0,,0
Mitchell Johnson,,,PBKS,Punjab Kings,9,,9,,0,,336,90,,,37.33,23.88,23.88,,,9.37,36,,,,1,1,,,,,9,,,,3/26,3/26,1,,0,0,,0
Brad Hogg,,,KKR,Kolkata Knight Riders,6,,6,,0,,144,50,,,16.00,14.00,14.00,,,6.85,21,,,,0,0,,,,,9,,,,4/29,4/29,0,,1,0,,0
Trent Boult,,,SRH,Sunrisers Hyderabad,7,,7,,66,,236,71,,,26.22,18.66,18.66,,,8.42,28,,,,0,0,,,,,9,,,,4/18,4/18,0,,0,0,,0
James Faulkner,,,RR,Rajasthan Royals,13,,13,,0,,426,89,,,53.25,33.75,33.75,,,9.46,45,,,,12,5,,,,,8,,,,5/16,5/16,1,,0,0,,0
Sreenath Aravind,,,RCB,Royal Challengers Bangalore,5,,5,,0,,132,47,,,16.50,13.50,13.50,,,7.33,18,,,,0,0,,,,,8,,,,4/14,4/14,0,,1,0,,0
JP Duminy,,,DC,Delhi Capitals,14,,9,,0,,126,33,,,15.75,12.75,12.75,,,7.41,17,,,,27,20,,,,,8,,,,4/17,4/17,0,,1,0,,0
Angelo Mathews,,,DC,Delhi Capitals,11,,10,,275,,246,61,,,35.14,25.71,25.71,,,8.20,30,,,,12,6,,,,,7,,,,4/19,4/19,0,,0,0,,0
Zaheer Khan,,,DC,Delhi Capitals,7,,7,,462,,156,73,,,22.28,20.71,20.71,,,6.45,24,,,,0,0,,,,,7,,,,4/17,4/17,1,,0,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,8,,8,,156,,234,74,,,33.42,27.42,27.42,,,7.31,32,,,,0,0,,,,,7,,,,5/19,5/19,0,,1,0,,0
Praveen Kumar,,,SRH,Sunrisers Hyderabad,12,,12,,0,,329,71,,,47.00,30.85,30.85,,,9.13,36,,,,1,0,,,,,7,,,,3/18,3/18,0,,0,0,,0
Pravin Tambe,,,RR,Rajasthan Royals,10,,10,,531,,266,69,,,38.00,29.14,29.14,,,7.82,34,,,,0,0,,,,,7,,,,4/20,4/20,0,,0,0,,0
Vinay Kumar,,,MI,Mumbai Indians,13,,13,,0,,368,93,,,52.57,37.28,37.28,,,8.45,43,,,,0,0,,,,,7,,,,4/40,4/40,0,,0,0,,0
Ravi Bopara,,,SRH,Sunrisers Hyderabad,9,,7,,0,,160,37,,,26.66,20.00,20.00,,,8.00,20,,,,6,6,,,,,6,,,,3/31,3/31,0,,0,0,,0
Shane Watson,,,RR,Rajasthan Royals,10,,10,,104,,269,62,,,44.83,29.00,29.00,,,9.27,29,,,,37,14,,,,,6,,,,4/29,4/29,1,,0,0,,0
Pawan Negi,,,CSK,Chennai Super Kings,10,,10,,208,,252,53,,,42.00,30.00,30.00,,,8.40,30,,,,10,5,,,,,6,,,,4/18,4/18,0,,0,0,,0
Tim Southee,,,RR,Rajasthan Royals,7,,7,,77,,247,67,,,41.16,28.00,28.00,,,8.82,28,,,,1,0,,,,,6,,,,3/24,3/24,1,,0,0,,0
Beuran Hendricks,,,PBKS,Punjab Kings,4,,4,,232,,109,27,,,21.80,15.60,15.60,,,8.38,13,,,,0,0,,,,,5,,,,3/36,3/36,0,,0,0,,0
Stuart Binny,,,RR,Rajasthan Royals,13,,10,,195,,140,56,,,35.00,28.50,28.50,,,7.36,19,,,,7,1,,,,,4,,,,2/14,2/14,0,,0,0,,0
Domnic Joseph,,,DC,Delhi Capitals,6,,6,,0,,101,44,,,25.25,21.00,21.00,,,7.21,14,,,,0,0,,,,,4,,,,2/18,2/18,0,,0,0,,0
Shakib Al Hasan,,,KKR,Kolkata Knight Riders,4,,4,,222,,123,34,,,30.75,21.00,21.00,,,8.78,14,,,,5,0,,,,,4,,,,3/17,3/17,0,,0,0,,0
