BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Ben Hilfenhaus,,,CSK,Chennai Super Kings,8,,8,,0,,246,70,,,30.75,21.00,21.00,,,8.78,28,,,,0,0,,,,,8,,,,3/27,3/27,0,,0,0,,0
Parvinder Awana,,,PBKS,Punjab Kings,7,,7,,0,,245,48,,,35.00,20.14,20.14,,,10.42,23,,,,0,0,,,,,7,,,,4/34,4/34,1,,0,0,,0
Amit Mishra,,,SRH,Sunrisers Hyderabad,10,,10,,107,,340,66,,,48.57,32.14,32.14,,,9.06,37,,,,0,0,,,,,7,,,,5/17,5/17,0,,0,0,,0
Mohammad Shami,,,DC,Delhi Capitals,12,,12,,47,,369,102,,,52.71,37.71,37.71,,,8.38,44,,,,0,0,,,,,7,,,,3/15,3/15,0,,0,0,,0
Vinay Kumar,,,KKR,Kolkata Knight Riders,9,,9,,0,,281,56,,,40.14,27.42,27.42,,,8.78,32,,,,0,0,,,,,7,,,,4/40,4/40,0,,0,0,,0
Shane Watson,,,RR,Rajasthan Royals,13,,9,,104,,165,57,,,23.57,18.00,18.00,,,7.85,21,,,,19,14,,,,,7,,,,4/29,4/29,1,,0,0,,1
Shreyas Gopal,,,MI,Mumbai Indians,4,,4,,192,,113,30,,,18.83,14.00,14.00,,,8.07,14,,,,1,0,,,,,6,,,,4/16,4/16,0,,0,0,,0
Ishwar Pandey,,,CSK,Chennai Super Kings,13,,12,,0,,318,112,,,53.00,42.00,42.00,,,7.57,42,,,,0,0,,,,,6,,,,2/23,2/23,2,,0,0,,0
Wayne Parnell,,,DC,Delhi Capitals,8,,8,,829,,223,82,,,37.16,30.16,30.16,,,7.39,30,,,,0,0,,,,,6,,,,3/27,3/27,0,,0,0,,0
Dhawal Kulkarni,,,RR,Rajasthan Royals,8,,8,,178,,221,70,,,36.83,27.00,27.00,,,8.18,27,,,,1,2,,,,,6,,,,4/14,4/14,1,,0,0,,0
Yuvraj Singh,,,RCB,Royal Challengers Bangalore,14,,10,,175,,187,33,,,37.40,27.20,27.20,,,8.25,22,,,,22,28,,,,,5,,,,4/29,4/29,0,,1,0,,0
Zaheer Khan,,,MI,Mumbai Indians,6,,6,,462,,146,56,,,29.20,26.80,26.80,,,6.53,22,,,,0,1,,,,,5,,,,4/17,4/17,0,,0,0,,0
Jasprit Bumrah,,,MI,Mumbai Indians,11,,11,,9,,301,92,,,60.20,47.60,47.60,,,7.58,39,,,,0,0,,,,,5,,,,4/14,4/14,1,,0,0,,0
Ashok Dinda,,,RCB,Royal Challengers Bangalore,9,,9,,0,,270,64,,,54.00,37.20,37.20,,,8.70,31,,,,0,0,,,,,5,,,,4/18,4/18,0,,0,0,,0
Albie Morkel,,,RCB,Royal Challengers Bangalore,7,,6,,481,,126,40,,,31.50,24.00,24.00,,,7.87,16,,,,1,3,,,,,4,,,,4/32,4/32,0,,0,0,,0
Jacques Kallis,,,KKR,Kolkata Knight Riders,8,,8,,0,,186,39,,,46.50,33.00,33.00,,,8.45,22,,,,13,4,,,,,4,,,,3/13,3/13,0,,0,0,,0
Irfan Pathan,,,SRH,Sunrisers Hyderabad,10,,10,,458,,205,41,,,51.25,35.50,35.50,,,8.66,23,,,,5,0,,,,,4,,,,3/24,3/24,0,,0,0,,0
Harshal Patel,,,RCB,Royal Challengers Bangalore,3,,3,,114,,113,22,,,28.25,16.50,16.50,,,10.27,11,,,,1,1,,,,,4,,,,5/27,5/27,0,,0,0,,0
Dwayne Smith,,,CSK,Chennai Super Kings,16,,5,,0,,95,15,,,23.75,15.00,15.00,,,9.50,10,,,,50,34,,,,,4,,,,4/8,4/8,0,,0,0,,0
Corey Anderson,,,MI,Mumbai Indians,12,,9,,0,,184,35,,,46.00,27.00,27.00,,,10.22,18,,,,21,15,,,,,4,,,,2/18,2/18,0,,0,0,,0
Moises Henriques,,,SRH,Sunrisers Hyderabad,4,,4,,133,,96,20,,,24.00,15.00,15.00,,,9.60,10,,,,1,0,,,,,4,,,,3/12,3/12,0,,0,0,,0
Kevon Cooper,,,RR,Rajasthan Royals,5,,5,,0,,134,34,,,33.50,27.00,27.00,,,7.44,18,,,,2,3,,,,,4,,,,4/26,4/26,0,,0,0,,0
Beuran Hendricks,,,PBKS,Punjab Kings,3,,3,,232,,126,25,,,31.50,18.00,18.00,,,10.50,12,,,,0,0,,,,,4,,,,3/36,3/36,0,,0,0,,0
Ankit Sharma,,,RR,Rajasthan Royals,3,,2,,0,,43,22,,,10.75,12.00,12.00,,,5.37,8,,,,4,1,,,,,4,,,,2/20,2/20,0,,0,0,,0
Stuart Binny,,,RR,Rajasthan Royals,13,,8,,195,,64,18,,,21.33,18.00,18.00,,,7.11,9,,,,4,5,,,,,3,,,,2/14,2/14,0,,0,0,,0
Darren Sammy,,,SRH,Sunrisers Hyderabad,10,,8,,0,,157,20,,,52.33,28.00,28.00,,,11.21,14,,,,4,8,,,,,3,,,,4/22,4/22,0,,0,0,,0
Shivam Sharma,,,PBKS,Punjab Kings,4,,4,,0,,121,34,,,40.33,32.00,32.00,,,7.56,16,,,,1,0,,,,,3,,,,2/26,2/26,0,,0,0,,0
Ishant Sharma,,,SRH,Sunrisers Hyderabad,3,,3,,50,,101,26,,,33.66,22.00,22.00,,,9.18,11,,,,0,0,,,,,3,,,,5/12,5/12,0,,0,0,,0
Abu Nechim,,,RCB,Royal Challengers Bangalore,4,,4,,0,,113,25,,,37.66,28.66,28.66,,,7.88,14,,,,1,0,,,,,3,,,,2/27,2/27,0,,0,0,,0
