BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Andrew Tye,,,PBKS,Punjab Kings,14,,14,,30,,448,116,,,18.66,14.00,14.00,,,8.00,56,,,,2,1,,,,,24,,,,5/17,5/17,0,,3,0,,0
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,17,,17,,64,,547,131,,,26.04,18.85,18.85,,,8.28,66,,,,0,0,,,,,21,,,,4/29,4/29,0,,0,0,,0
Rashid Khan,,,SRH,Sunrisers Hyderabad,17,,17,,218,,458,167,,,21.80,19.42,19.42,,,6.73,68,,,,3,6,,,,,21,,,,3/19,3/19,1,,0,0,,0
Umesh Yadav,,,RCB,Royal Challengers Bangalore,14,,14,,21,,418,148,,,20.90,15.95,15.95,,,7.86,53,,,,0,0,,,,,20,,,,4/24,4/24,1,,0,0,,0
Hardik Pandya,,,MI,Mumbai Indians,13,,13,,54,,381,98,,,21.16,14.22,14.22,,,8.92,42,,,,20,11,,,,,18,,,,3/20,3/20,0,,0,0,,0
Trent Boult,,,DC,Delhi Capitals,14,,14,,66,,466,118,,,25.88,17.55,17.55,,,8.84,52,,,,0,0,,,,,18,,,,4/18,4/18,1,,0,0,,0
Jasprit Bumrah,,,MI,Mumbai Indians,14,,14,,9,,372,133,,,21.88,19.05,19.05,,,6.88,54,,,,1,0,,,,,17,,,,4/14,4/14,0,,0,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,16,,16,,156,,467,137,,,27.47,21.52,21.52,,,7.65,61,,,,40,23,,,,,17,,,,5/19,5/19,0,,0,0,,0
Kuldeep Yadav,,,KKR,Kolkata Knight Riders,16,,16,,14,,418,94,,,24.58,18.11,18.11,,,8.14,51,,,,1,0,,,,,17,,,,4/20,4/20,0,,1,0,,0
Shardul Thakur,,,CSK,Chennai Super Kings,13,,13,,105,,431,113,,,26.93,17.50,17.50,,,9.23,46,,,,3,0,,,,,16,,,,3/19,3/19,1,,0,0,,0
Jofra Archer,,,RR,Mumbai Indians,10,,10,,181,,325,98,,,21.66,15.53,15.53,,,8.36,39,,,,2,0,,,,,15,,,,3/15,3/15,0,,0,0,,0
Mayank Markande,,,MI,Mumbai Indians,14,,14,,87,,368,87,,,24.53,17.60,17.60,,,8.36,44,,,,2,0,,,,,15,,,,4/23,4/23,0,,1,0,,0
Dwayne Bravo,,,CSK,Chennai Super Kings,16,,16,,93,,533,90,,,38.07,22.92,22.92,,,9.96,53,,,,8,10,,,,,14,,,,4/22,4/22,1,,0,0,,0
Mitchell McClenaghan,,,MI,Mumbai Indians,11,,11,,0,,332,103,,,23.71,17.14,17.14,,,8.30,40,,,,1,1,,,,,14,,,,4/21,4/21,0,,0,0,,0
Mujeeb Ur Rahman,,,PBKS,Punjab Kings,11,,11,,134,,289,93,,,20.64,17.71,17.71,,,6.99,41,,,,2,0,,,,,14,,,,3/27,3/27,0,,0,0,,0
Piyush Chawla,,,KKR,Kolkata Knight Riders,15,,15,,149,,412,110,,,29.42,21.00,21.00,,,8.40,49,,,,1,1,,,,,14,,,,4/17,4/17,0,,0,0,,0
Shakib Al Hasan,,,SRH,Sunrisers Hyderabad,17,,17,,222,,456,98,,,32.57,24.42,24.42,,,8.00,57,,,,26,5,,,,,14,,,,3/17,3/17,0,,0,0,,0
Andre Russell,,,KKR,Kolkata Knight Riders,16,,15,,141,,355,76,,,27.30,17.46,17.46,,,9.38,38,,,,17,31,,,,,13,,,,5/15,5/15,0,,0,0,,0
Sandeep Sharma,,,SRH,Sunrisers Hyderabad,12,,12,,220,,333,116,,,27.75,22.00,22.00,,,7.56,44,,,,0,0,,,,,12,,,,4/20,4/20,0,,0,0,,0
Krunal Pandya,,,MI,Mumbai Indians,14,,13,,17,,284,85,,,23.66,20.08,20.08,,,7.07,40,,,,22,10,,,,,12,,,,3/14,3/14,0,,0,0,,0
Amit Mishra,,,DC,Delhi Capitals,10,,10,,107,,264,74,,,22.00,18.50,18.50,,,7.13,37,,,,0,0,,,,,12,,,,5/17,5/17,1,,0,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,14,,14,,10,,363,128,,,30.25,25.00,25.00,,,7.26,50,,,,0,0,,,,,12,,,,4/25,4/25,1,,0,0,,0
Ankit Rajpoot,,,PBKS,Punjab Kings,8,,8,,124,,223,80,,,20.27,14.27,14.27,,,8.52,26,,,,1,0,,,,,11,,,,5/14,5/14,1,,0,1,,0
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,11,,11,,63,,367,90,,,33.36,22.36,22.36,,,8.95,41,,,,2,1,,,,,11,,,,4/32,4/32,0,,0,0,,0
Lungi Ngidi ,,,CSK,Chennai Super Kings,7,,7,,99,,156,79,,,14.18,14.18,14.18,,,6.00,26,,,,0,0,,,,,11,,,,4/10,4/10,2,,1,0,,0
Krishnappa Gowtham,,,RR,Rajasthan Royals,15,,15,,179,,312,90,,,28.36,21.81,21.81,,,7.80,40,,,,9,9,,,,,11,,,,2/12,2/12,0,,0,0,,0
Ravindra Jadeja,,,CSK,Chennai Super Kings,16,,14,,46,,303,82,,,27.54,22.36,22.36,,,7.39,41,,,,3,4,,,,,11,,,,5/16,5/16,0,,0,0,,0
Jaydev Unadkat,,,RR,Mumbai Indians,15,,15,,180,,486,97,,,44.18,27.45,27.45,,,9.65,50,,,,6,1,,,,,11,,,,5/25,5/25,0,,0,0,,0
Shreyas Gopal,,,RR,Rajasthan Royals,11,,10,,192,,236,68,,,21.45,16.90,16.90,,,7.61,31,,,,5,0,,,,,11,,,,4/16,4/16,0,,1,0,,0
Deepak Chahar,,,CSK,Chennai Super Kings,12,,12,,91,,278,117,,,27.80,22.90,22.90,,,7.28,38,,,,1,4,,,,,10,,,,4/13,4/13,1,,0,0,,0
Prasidh Krishna,,,KKR,Kolkata Knight Riders,7,,7,,150,,260,60,,,26.00,16.80,16.80,,,9.28,28,,,,0,0,,,,,10,,,,4/30,4/30,0,,1,0,,0
Ravichandran Ashwin,,,PBKS,Punjab Kings,14,,14,,45,,410,77,,,41.00,30.40,30.40,,,8.09,50,,,,7,5,,,,,10,,,,4/34,4/34,0,,0,0,,0
Ben Laughlin,,,RR,Rajasthan Royals,7,,7,,453,,211,34,,,23.44,14.00,14.00,,,10.04,21,,,,0,0,,,,,9,,,,2/15,2/15,0,,0,0,,0
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,12,,12,,15,,354,124,,,39.33,30.77,30.77,,,7.66,46,,,,1,0,,,,,9,,,,5/19,5/19,1,,0,0,,0
Chris Woakes,,,RCB,Royal Challengers Bangalore,5,,5,,314,,190,47,,,23.75,13.75,13.75,,,10.36,18,,,,1,1,,,,,8,,,,3/36,3/36,0,,0,0,,0
Ben Stokes,,,RR,Rajasthan Royals,13,,12,,177,,303,77,,,37.87,27.75,27.75,,,8.18,37,,,,13,6,,,,,8,,,,3/15,3/15,1,,0,0,,0
Harshal Patel,,,DC,Delhi Capitals,5,,5,,114,,167,36,,,23.85,15.00,15.00,,,9.54,17,,,,1,6,,,,,7,,,,5/27,5/27,0,,0,0,,0
Mohit Sharma,,,PBKS,Punjab Kings,9,,9,,100,,322,50,,,46.00,25.42,25.42,,,10.85,29,,,,1,0,,,,,7,,,,4/14,4/14,0,,0,0,,0
Mustafizur Rahman,,,MI,Mumbai Indians,7,,7,,258,,230,59,,,32.85,23.57,23.57,,,8.36,27,,,,0,0,,,,,7,,,,3/16,3/16,0,,0,0,,0
Harbhajan Singh,,,CSK,Chennai Super Kings,13,,12,,95,,270,68,,,38.57,27.28,27.28,,,8.48,32,,,,3,1,,,,,7,,,,5/18,5/18,0,,0,0,,0
Imran Tahir,,,CSK,Chennai Super Kings,6,,6,,96,,188,40,,,31.33,20.66,20.66,,,9.09,20,,,,0,0,,,,,6,,,,4/12,4/12,0,,0,0,,0
Tom Curran,,,KKR,Kolkata Knight Riders,5,,5,,309,,118,15,,,19.66,10.16,10.16,,,11.60,10,,,,3,0,,,,,6,,,,3/29,3/29,0,,0,0,,0
Rahul Tewatia,,,DC,Delhi Capitals,8,,8,,120,,173,41,,,28.83,22.00,22.00,,,7.86,22,,,,5,1,,,,,6,,,,3/18,3/18,0,,0,0,,0
Shane Watson,,,CSK,Chennai Super Kings,15,,11,,104,,251,57,,,41.83,28.00,28.00,,,8.96,28,,,,44,35,,,,,6,,,,4/29,4/29,0,,0,0,,0
Tim Southee,,,RCB,Royal Challengers Bangalore,8,,8,,77,,261,59,,,52.20,34.80,34.80,,,9.00,29,,,,5,1,,,,,5,,,,3/24,3/24,0,,0,0,,0
Sandeep Lamichhane,,,DC,Delhi Capitals,3,,3,,121,,82,30,,,16.40,14.40,14.40,,,6.83,12,,,,0,0,,,,,5,,,,3/36,3/36,0,,0,0,,0
Basil Thampi,,,SRH,Sunrisers Hyderabad,4,,4,,213,,114,17,,,22.80,12.20,12.20,,,11.21,10,,,,0,0,,,,,5,,,,3/29,3/29,0,,0,0,,0
Shivam Mavi,,,KKR,Kolkata Knight Riders,9,,9,,154,,270,64,,,54.00,33.60,33.60,,,9.64,28,,,,1,0,,,,,5,,,,4/21,4/21,0,,0,0,,0
Billy Stanlake,,,SRH,Sunrisers Hyderabad,4,,4,,29,,130,47,,,26.00,19.20,19.20,,,8.12,16,,,,1,0,,,,,5,,,,2/21,2/21,0,,0,0,,0
Carlos Brathwaite,,,SRH,Sunrisers Hyderabad,4,,4,,143,,94,23,,,18.80,12.20,12.20,,,9.24,10,,,,1,8,,,,,5,,,,3/43,3/43,0,,0,0,,0
Glenn Maxwell,,,DC,Delhi Capitals,12,,10,,28,,132,32,,,26.40,19.20,19.20,,,8.25,16,,,,14,9,,,,,5,,,,2/15,2/15,0,,0,0,,0
Ish Sodhi,,,RR,Rajasthan Royals,6,,6,,76,,135,51,,,27.00,27.60,27.60,,,5.86,23,,,,0,0,,,,,5,,,,3/26,3/26,0,,0,0,,0
Dhawal Kulkarni,,,RR,Rajasthan Royals,8,,8,,178,,188,54,,,47.00,29.75,29.75,,,9.47,20,,,,0,0,,,,,4,,,,4/14,4/14,0,,0,0,,0
Washington Sundar,,,RCB,Royal Challengers Bangalore,7,,7,,20,,192,29,,,48.00,30.00,30.00,,,9.60,20,,,,5,4,,,,,4,,,,3/16,3/16,0,,0,0,,0
Avesh Khan,,,DC,Delhi Capitals,6,,6,,109,,204,44,,,51.00,28.50,28.50,,,10.73,19,,,,0,0,,,,,4,,,,3/13,3/13,0,,0,0,,0
Nitish Rana,,,KKR,Kolkata Knight Riders,15,,5,,148,,44,17,,,11.00,9.25,9.25,,,7.13,6,,,,26,14,,,,,4,,,,2/11,2/11,0,,0,0,,0
Barinder Sran,,,PBKS,Punjab Kings,6,,6,,161,,229,47,,,57.25,33.00,33.00,,,10.40,22,,,,0,0,,,,,4,,,,3/28,3/28,0,,0,0,,0
Dan Christian,,,DC,Delhi Capitals,4,,4,,0,,101,22,,,25.25,17.75,17.75,,,8.53,12,,,,0,1,,,,,4,,,,2/10,2/10,0,,0,0,,0
Liam Plunkett,,,DC,Delhi Capitals,7,,7,,310,,225,42,,,56.25,37.50,37.50,,,9.00,25,,,,0,0,,,,,4,,,,3/17,3/17,0,,0,0,,0
Karn Sharma,,,CSK,Chennai Super Kings,6,,5,,98,,89,16,,,22.25,14.25,14.25,,,9.36,9,,,,0,0,,,,,4,,,,4/16,4/16,0,,0,0,,0
Shahbaz Nadeem,,,DC,Delhi Capitals,6,,6,,221,,161,21,,,53.66,30.00,30.00,,,10.73,15,,,,0,0,,,,,3,,,,3/16,3/16,0,,0,0,,0
Axar Patel,,,PBKS,Punjab Kings,9,,8,,110,,218,41,,,72.66,52.00,52.00,,,8.38,26,,,,3,4,,,,,3,,,,4/21,4/21,0,,0,0,,0
Mohammad Shami,,,DC,Delhi Capitals,4,,4,,47,,144,28,,,48.00,27.66,27.66,,,10.40,14,,,,1,0,,,,,3,,,,3/15,3/15,0,,0,0,,0
Corey Anderson,,,RCB,Royal Challengers Bangalore,3,,3,,0,,115,16,,,38.33,17.33,17.33,,,13.26,8,,,,0,1,,,,,3,,,,2/18,2/18,0,,0,0,,0
KM Asif,,,CSK,Chennai Super Kings,2,,2,,88,,75,16,,,25.00,12.00,12.00,,,12.50,6,,,,0,0,,,,,3,,,,2/43,2/43,0,,0,0,,0
Moeen Ali,,,RCB,Royal Challengers Bangalore,5,,5,,206,,97,27,,,32.33,26.33,26.33,,,7.36,13,,,,4,6,,,,,3,,,,3/7,3/7,0,,0,0,,0
Murugan Ashwin,,,RCB,Royal Challengers Bangalore,2,,2,,135,,53,20,,,17.66,14.00,14.00,,,7.57,7,,,,0,0,,,,,3,,,,3/21,3/21,0,,0,0,,0
Marcus Stoinis,,,PBKS,Punjab Kings,7,,6,,23,,120,15,,,40.00,22.00,22.00,,,10.90,11,,,,6,4,,,,,3,,,,4/15,4/15,0,,0,0,,0
Chris Morris,,,DC,Delhi Capitals,4,,4,,112,,143,31,,,47.66,28.00,28.00,,,10.21,14,,,,3,2,,,,,3,,,,4/23,4/23,0,,0,0,,0
