BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Sohail Tanvir,,,RR,Rajasthan Royals,11,,11,,0,,266,122,,,12.09,11.22,11.22,,,6.46,41,,,,3,1,,,,,22,,,,6/14,6/14,0,,1,1,,0
Shane Warne,,,RR,Rajasthan Royals,15,,15,,0,,404,108,,,21.26,16.42,16.42,,,7.76,52,,,,7,2,,,,,19,,,,4/21,4/21,1,,0,0,,0
Shanthakumaran Sreesanth,,,PBKS,Punjab Kings,15,,15,,0,,442,133,,,23.26,16.15,16.15,,,8.63,51,,,,0,0,,,,,19,,,,3/29,3/29,0,,0,0,,0
Piyush Chawla,,,PBKS,Punjab Kings,15,,15,,149,,389,112,,,22.88,16.52,16.52,,,8.30,47,,,,10,3,,,,,17,,,,4/17,4/17,0,,0,0,,0
Albie Morkel,,,CSK,Chennai Super Kings,13,,13,,481,,399,100,,,23.47,16.94,16.94,,,8.31,48,,,,18,14,,,,,17,,,,4/32,4/32,0,,1,0,,0
Shane Watson,,,RR,Rajasthan Royals,15,,15,,104,,383,158,,,22.52,19.11,19.11,,,7.07,54,,,,47,19,,,,,17,,,,4/29,4/29,0,,0,0,,0
Manpreet Gony,,,CSK,Chennai Super Kings,16,,16,,507,,443,157,,,26.05,21.17,21.17,,,7.38,60,,,,2,3,,,,,17,,,,3/31,3/31,3,,0,0,,0
Yo Mahesh,,,DC,Delhi Capitals,11,,11,,0,,370,94,,,23.12,15.81,15.81,,,8.77,42,,,,0,0,,,,,16,,,,4/36,4/36,0,,1,0,,0
Irfan Pathan,,,PBKS,Punjab Kings,14,,14,,458,,350,153,,,23.33,21.20,21.20,,,6.60,53,,,,9,6,,,,,15,,,,3/24,3/24,2,,0,0,,0
RP Singh,,,DEC,Deccan Chargers,14,,14,,0,,442,122,,,29.46,20.53,20.53,,,8.61,51,,,,2,1,,,,,15,,,,4/22,4/22,1,,0,0,,0
MF Maharoof,,,DC,Delhi Capitals,10,,10,,0,,249,84,,,16.60,14.40,14.40,,,6.91,36,,,,10,7,,,,,15,,,,3/34,3/34,0,,0,0,,0
Munaf Patel,,,RR,Rajasthan Royals,15,,15,,460,,420,141,,,30.00,23.57,23.57,,,7.63,55,,,,0,0,,,,,14,,,,5/21,5/21,1,,0,0,,0
Zaheer Khan,,,RCB,Royal Challengers Bangalore,11,,11,,462,,357,100,,,27.46,19.38,19.38,,,8.50,42,,,,4,0,,,,,13,,,,4/17,4/17,0,,0,0,,0
Siddharth Trivedi,,,RR,Rajasthan Royals,15,,15,,0,,399,104,,,30.69,22.15,22.15,,,8.31,48,,,,0,0,,,,,13,,,,4/25,4/25,0,,0,0,,0
Ashish Nehra,,,MI,Mumbai Indians,14,,14,,0,,348,121,,,29.00,22.41,22.41,,,7.76,45,,,,0,0,,,,,12,,,,4/10,4/10,0,,0,0,,0
Glenn McGrath,,,DC,Delhi Capitals,14,,14,,0,,357,154,,,29.75,27.00,27.00,,,6.61,54,,,,1,0,,,,,12,,,,4/29,4/29,2,,1,0,,0
Umar Gul,,,KKR,Kolkata Knight Riders,6,,6,,0,,184,51,,,15.33,11.25,11.25,,,8.17,22,,,,1,5,,,,,12,,,,4/23,4/23,1,,1,0,,0
Lakshmipathy Balaji,,,CSK,Chennai Super Kings,9,,9,,0,,286,60,,,26.00,18.00,18.00,,,8.66,33,,,,0,0,,,,,11,,,,5/24,5/24,0,,0,1,,1
Shaun Pollock,,,MI,Mumbai Indians,13,,13,,0,,301,131,,,27.36,25.09,25.09,,,6.54,46,,,,12,8,,,,,11,,,,3/12,3/12,1,,0,0,,0
Amit Mishra,,,DC,Delhi Capitals,6,,6,,107,,142,41,,,12.90,10.81,10.81,,,7.15,20,,,,3,0,,,,,11,,,,5/17,5/17,0,,0,1,,1
