StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
David Warner,214,12,,,,10011,,,SRH,Sunrisers Hyderabad,10011,,,12,,692,481,,143.86,,,,,,,,,,57,21,57,21,10,2,69.20,8,1,,100*,69.20,,
KL Rahul,19,14,,,,10011,,,PBKS,Punjab Kings,10011,,,14,,593,438,,135.38,,,,,,,,,,49,25,49,25,11,3,53.90,6,1,,100*,53.90,,
Quinton de Kock,170,16,,,,10011,,,MI,Mumbai Indians,10011,,,16,,529,398,,132.91,,,,,,,,,,45,25,45,25,15,1,35.26,4,0,,81,35.26,,
Shikhar Dhawan,11,16,,,,10011,,,DC,Delhi Capitals,10011,,,16,,521,384,,135.67,,,,,,,,,,64,11,64,11,15,1,34.73,5,0,,97*,34.73,,
Andre Russell,141,14,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,13,,510,249,,204.81,,,,,,,,,,31,52,31,52,9,4,56.66,4,0,,80*,56.66,,
Chris Gayle,126,13,,,,10011,,,PBKS,Punjab Kings,10011,,,13,,490,319,,153.60,,,,,,,,,,45,34,45,34,12,1,40.83,4,0,,99*,40.83,,
Rishabh Pant,18,16,,,,10011,,,DC,Delhi Capitals,10011,,,16,,488,300,,162.66,,,,,,,,,,37,27,37,27,13,3,37.53,3,0,,78*,37.53,,
Virat Kohli,2,14,,,,10011,,,RCB,Royal Challengers Bangalore,10011,,,14,,464,328,,141.46,,,,,,,,,,46,13,46,13,14,0,33.14,2,1,,100,33.14,,
Shreyas Iyer,12,16,,,,10011,,,DC,Delhi Capitals,10011,,,16,,463,386,,119.94,,,,,,,,,,41,14,41,14,15,1,30.86,3,0,,67,30.86,,
Jonny Bairstow,216,10,,,,10011,,,SRH,Sunrisers Hyderabad,10011,,,10,,445,283,,157.24,,,,,,,,,,48,18,48,18,8,2,55.62,2,1,,114,55.62,,
AB de Villiers,198,13,,,,10011,,,RCB,Royal Challengers Bangalore,10011,,,13,,442,287,,154.00,,,,,,,,,,31,26,31,26,10,3,44.20,5,0,,82*,44.20,,
Suryakumar Yadav,174,16,,,,10011,,,MI,Mumbai Indians,10011,,,15,,424,324,,130.86,,,,,,,,,,45,10,45,10,13,2,32.61,2,0,,71*,32.61,,
MS Dhoni,57,15,,,,10011,,,CSK,Chennai Super Kings,10011,,,12,,416,309,,134.62,,,,,,,,,,22,23,22,23,5,7,83.20,3,0,,84*,83.20,,
Chris Lynn,27,13,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,13,,405,290,,139.65,,,,,,,,,,41,22,41,22,13,0,31.15,4,0,,82,31.15,,
Rohit Sharma,6,15,,,,10011,,,MI,Mumbai Indians,10011,,,15,,405,315,,128.57,,,,,,,,,,52,10,52,10,14,1,28.92,2,0,,67,28.92,,
Hardik Pandya,54,16,,,,10011,,,MI,Mumbai Indians,10011,,,15,,402,210,,191.42,,,,,,,,,,28,29,28,29,9,6,44.66,1,0,,91,44.66,,
Shane Watson,104,17,,,,10011,,,CSK,Chennai Super Kings,10011,,,17,,398,312,,127.56,,,,,,,,,,42,20,42,20,17,0,23.41,3,0,,96,23.41,,
Faf du Plessis,94,12,,,,10011,,,CSK,Chennai Super Kings,10011,,,12,,396,321,,123.36,,,,,,,,,,36,15,36,15,11,1,36.00,3,0,,96,36.00,,
Ajinkya Rahane,44,14,,,,10011,,,RR,Rajasthan Royals,10011,,,13,,393,285,,137.89,,,,,,,,,,45,9,45,9,12,1,32.75,1,1,,105*,32.75,,
Suresh Raina,106,17,,,,10011,,,CSK,Chennai Super Kings,10011,,,17,,383,314,,121.97,,,,,,,,,,45,9,45,9,16,1,23.93,3,0,,59,23.93,,
Parthiv Patel,48,14,,,,10011,,,RCB,Royal Challengers Bangalore,10011,,,14,,373,268,,139.17,,,,,,,,,,48,10,48,10,14,0,26.64,2,0,,67,26.64,,
Prithvi Shaw,51,16,,,,10011,,,DC,Delhi Capitals,10011,,,16,,353,264,,133.71,,,,,,,,,,45,9,45,9,16,0,22.06,2,0,,99,22.06,,
Manish Pandey,16,12,,,,10011,,,SRH,Sunrisers Hyderabad,10011,,,11,,344,263,,130.79,,,,,,,,,,34,6,34,6,8,3,43.00,3,0,,83*,43.00,,
Nitish Rana,148,14,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,11,,344,235,,146.38,,,,,,,,,,27,21,27,21,10,1,34.40,3,0,,85*,34.40,,
Sanju Samson,190,12,,,,10011,,,RR,Rajasthan Royals,10011,,,12,,342,230,,148.69,,,,,,,,,,28,13,28,13,10,2,34.20,0,1,,102*,34.20,,
Mayank Agarwal,55,13,,,,10011,,,PBKS,Punjab Kings,10011,,,13,,332,234,,141.88,,,,,,,,,,26,14,26,14,13,0,25.53,2,0,,58,25.53,,
Steve Smith,0,12,,,,10011,,,RR,Rajasthan Royals,10011,,,10,,319,275,,116.00,,,,,,,,,,30,4,30,4,8,2,39.87,3,0,,73*,39.87,,
Jos Buttler,182,8,,,,10011,,,RR,Rajasthan Royals,10011,,,8,,311,205,,151.70,,,,,,,,,,38,14,38,14,8,0,38.87,3,0,,89,38.87,,
Shubman Gill,62,14,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,13,,296,238,,124.36,,,,,,,,,,21,10,21,10,9,4,32.88,3,0,,76,32.88,,
Robin Uthappa,153,12,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,11,,282,245,,115.10,,,,,,,,,,28,10,28,10,9,2,31.33,1,0,,67*,31.33,,
Ambati Rayudu,60,17,,,,10011,,,CSK,Chennai Super Kings,10011,,,17,,282,303,,93.06,,,,,,,,,,20,7,20,7,12,5,23.50,1,0,,57,23.50,,
Kieron Pollard,166,16,,,,10011,,,MI,Mumbai Indians,10011,,,14,,279,178,,156.74,,,,,,,,,,14,22,14,22,8,6,34.87,1,0,,83,34.87,,
Dinesh Karthik,13,14,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,13,,253,173,,146.24,,,,,,,,,,22,14,22,14,8,5,31.62,2,0,,97*,31.62,,
Vijay Shankar,61,15,,,,10011,,,SRH,Sunrisers Hyderabad,10011,,,14,,244,193,,126.42,,,,,,,,,,11,12,11,12,12,2,20.33,0,0,,40*,20.33,,
Moeen Ali,206,11,,,,10011,,,RCB,Royal Challengers Bangalore,10011,,,10,,220,133,,165.41,,,,,,,,,,16,17,16,17,8,2,27.50,2,0,,66,27.50,,
David Miller,128,10,,,,10011,,,PBKS,Punjab Kings,10011,,,10,,213,164,,129.87,,,,,,,,,,19,7,19,7,8,2,26.62,1,0,,59*,26.62,,
Marcus Stoinis,23,10,,,,10011,,,RCB,Royal Challengers Bangalore,10011,,,10,,211,156,,135.25,,,,,,,,,,14,10,14,10,4,6,52.75,0,0,,46*,52.75,,
Colin Ingram,113,12,,,,10011,,,DC,Delhi Capitals,10011,,,12,,184,154,,119.48,,,,,,,,,,20,5,20,5,10,2,18.40,0,0,,47,18.40,,
Krunal Pandya,17,16,,,,10011,,,MI,Mumbai Indians,10011,,,15,,183,150,,122.00,,,,,,,,,,18,5,18,5,11,4,16.63,0,0,,42,16.63,,
Sarfaraz Khan,139,8,,,,10011,,,PBKS,Punjab Kings,10011,,,5,,180,143,,125.87,,,,,,,,,,19,4,19,4,4,1,45.00,1,0,,67,45.00,,
Nicholas Pooran,136,7,,,,10011,,,PBKS,Punjab Kings,10011,,,6,,168,107,,157.00,,,,,,,,,,10,14,10,14,6,0,28.00,0,0,,48,28.00,,
Mandeep Singh,132,13,,,,10011,,,PBKS,Punjab Kings,10011,,,12,,165,120,,137.50,,,,,,,,,,10,4,10,4,4,8,41.25,0,0,,33*,41.25,,
Kedar Jadhav,58,14,,,,10011,,,CSK,Chennai Super Kings,10011,,,12,,162,169,,95.85,,,,,,,,,,19,3,19,3,9,3,18.00,1,0,,58,18.00,,
Riyan Parag,189,7,,,,10011,,,RR,Rajasthan Royals,10011,,,5,,160,126,,126.98,,,,,,,,,,17,5,17,5,5,0,32.00,1,0,,50,32.00,,
Kane Williamson,65,9,,,,10011,,,SRH,Sunrisers Hyderabad,10011,,,9,,156,130,,120.00,,,,,,,,,,12,5,12,5,7,2,22.28,1,0,,70*,22.28,,
Sunil Narine,156,12,,,,10011,,,KKR,Kolkata Knight Riders,10011,,,9,,143,86,,166.27,,,,,,,,,,17,9,17,9,8,1,17.87,0,0,,47,17.87,,
Rahul Tripathi,188,8,,,,10011,,,RR,Rajasthan Royals,10011,,,7,,141,118,,119.49,,,,,,,,,,13,2,13,2,6,1,23.50,1,0,,50,23.50,,
Ben Stokes,177,9,,,,10011,,,RR,Rajasthan Royals,10011,,,9,,123,99,,124.24,,,,,,,,,,8,4,8,4,6,3,20.50,0,0,,46,20.50,,
Mohammad Nabi,217,8,,,,10011,,,SRH,Sunrisers Hyderabad,10011,,,7,,115,76,,151.31,,,,,,,,,,8,7,8,7,6,1,19.16,0,0,,31,19.16,,
Axar Patel,110,14,,,,10011,,,DC,Delhi Capitals,10011,,,12,,110,88,,125.00,,,,,,,,,,10,3,10,3,6,6,18.33,0,0,,26,18.33,,
