BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Lasith Malinga,,,MI,Mumbai Indians,16,,16,,167,,375,183,,,13.39,13.50,13.50,,,5.95,63,,,,0,1,,,,,28,,,,5/13,5/13,2,,0,1,,0
Munaf Patel,,,MI,Mumbai Indians,15,,15,,460,,358,145,,,16.27,14.81,14.81,,,6.58,54,,,,0,0,,,,,22,,,,5/21,5/21,1,,0,1,,0
Sreenath Aravind,,,RCB,Royal Challengers Bangalore,13,,13,,0,,368,115,,,17.52,13.14,13.14,,,8.00,46,,,,2,0,,,,,21,,,,4/14,4/14,0,,1,0,,0
Ravichandran Ashwin,,,CSK,Chennai Super Kings,16,,16,,45,,388,157,,,19.40,18.90,18.90,,,6.15,63,,,,0,0,,,,,20,,,,4/34,4/34,1,,0,0,,0
Amit Mishra,,,DEC,Deccan Chargers,14,,14,,107,,358,130,,,18.84,16.84,16.84,,,6.71,53,,,,9,1,,,,,19,,,,5/17,5/17,2,,1,0,,1
Doug Bollinger,,,CSK,Chennai Super Kings,13,,13,,0,,329,114,,,19.35,16.58,16.58,,,7.00,47,,,,0,0,,,,,17,,,,4/13,4/13,1,,0,0,,0
Iqbal Abdulla,,,KKR,Kolkata Knight Riders,15,,15,,0,,305,131,,,19.06,18.75,18.75,,,6.10,50,,,,1,0,,,,,16,,,,3/24,3/24,0,,0,0,,0
Ryan Harris,,,PBKS,Punjab Kings,13,,13,,0,,382,111,,,23.87,17.62,17.62,,,8.12,47,,,,3,0,,,,,16,,,,4/34,4/34,1,,0,0,,0
Rahul Sharma,,,PWI,Pune Warriors India,14,,14,,0,,273,128,,,17.06,18.75,18.75,,,5.46,50,,,,1,2,,,,,16,,,,3/13,3/13,1,,0,0,,0
Piyush Chawla,,,PBKS,Punjab Kings,12,,12,,149,,336,93,,,21.00,15.50,15.50,,,8.12,41,,,,2,2,,,,,16,,,,4/17,4/17,0,,1,0,,0
Albie Morkel,,,CSK,Chennai Super Kings,15,,14,,481,,382,102,,,25.46,18.00,18.00,,,8.48,45,,,,8,8,,,,,15,,,,4/32,4/32,1,,0,0,,0
Dale Steyn,,,DEC,Deccan Chargers,12,,12,,230,,299,134,,,21.35,19.50,19.50,,,6.57,45,,,,3,0,,,,,14,,,,3/11,3/11,1,,0,0,,0
Harbhajan Singh,,,MI,Mumbai Indians,15,,15,,95,,370,127,,,26.42,22.71,22.71,,,6.98,53,,,,9,6,,,,,14,,,,5/18,5/18,1,,0,1,,0
Zaheer Khan,,,RCB,Royal Challengers Bangalore,15,,15,,462,,455,141,,,32.50,25.28,25.28,,,7.71,59,,,,2,0,,,,,14,,,,4/17,4/17,1,,0,0,,0
RP Singh,,,KTK,Kochi Tuskers Kerala,14,,14,,0,,345,135,,,26.53,23.07,23.07,,,6.90,50,,,,0,0,,,,,13,,,,4/22,4/22,0,,1,0,,0
Shane Warne,,,RR,Rajasthan Royals,13,,12,,0,,297,117,,,22.84,21.69,21.69,,,6.31,47,,,,1,0,,,,,13,,,,4/21,4/21,0,,0,0,,0
Yusuf Pathan,,,KKR,Kolkata Knight Riders,15,,14,,226,,238,93,,,18.30,18.00,18.00,,,6.10,39,,,,24,13,,,,,13,,,,3/20,3/20,1,,0,0,,0
Morne Morkel,,,DC,Delhi Capitals,11,,11,,0,,325,115,,,25.00,19.84,19.84,,,7.55,43,,,,3,2,,,,,13,,,,4/20,4/20,0,,0,0,,0
Daniel Vettori,,,RCB,Royal Challengers Bangalore,13,,13,,0,,311,119,,,25.91,25.83,25.83,,,6.01,51,,,,1,1,,,,,12,,,,3/15,3/15,0,,0,0,,0
Vinay Kumar,,,KTK,Kochi Tuskers Kerala,13,,13,,0,,335,103,,,27.91,22.33,22.33,,,7.50,44,,,,4,1,,,,,12,,,,4/40,4/40,0,,0,0,,0
Dan Christian,,,DEC,Deccan Chargers,14,,14,,0,,350,109,,,31.81,24.90,24.90,,,7.66,45,,,,9,7,,,,,11,,,,2/10,2/10,0,,0,0,,0
