StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Kane Williamson,65,17,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,17,,735,516,,142.44,,,,,,,,,,64,28,64,28,14,3,52.50,8,0,,84,52.50,,
Rishabh Pant,18,14,,,,10010,,,DC,Delhi Capitals,10010,,,14,,684,394,,173.60,,,,,,,,,,68,37,68,37,13,1,52.61,5,1,,128*,52.61,,
KL Rahul,19,14,,,,10010,,,PBKS,Punjab Kings,10010,,,14,,659,416,,158.41,,,,,,,,,,66,32,66,32,12,2,54.91,6,0,,95*,54.91,,
Ambati Rayudu,60,16,,,,10010,,,CSK,Chennai Super Kings,10010,,,16,,602,402,,149.75,,,,,,,,,,53,34,53,34,14,2,43.00,3,1,,100*,43.00,,
Shane Watson,104,15,,,,10010,,,CSK,Chennai Super Kings,10010,,,15,,555,359,,154.59,,,,,,,,,,44,35,44,35,14,1,39.64,2,2,,117*,39.64,,
Jos Buttler,182,13,,,,10010,,,RR,Rajasthan Royals,10010,,,13,,548,353,,155.24,,,,,,,,,,52,21,52,21,10,3,54.80,5,0,,95*,54.80,,
Virat Kohli,2,14,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,14,,530,381,,139.10,,,,,,,,,,52,18,52,18,11,3,48.18,4,0,,92*,48.18,,
Suryakumar Yadav,174,14,,,,10010,,,MI,Mumbai Indians,10010,,,14,,512,384,,133.33,,,,,,,,,,61,16,61,16,14,0,36.57,4,0,,72,36.57,,
Dinesh Karthik,13,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,498,337,,147.77,,,,,,,,,,49,16,49,16,10,6,49.80,2,0,,52,49.80,,
Shikhar Dhawan,11,16,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,16,,497,363,,136.91,,,,,,,,,,59,14,59,14,13,3,38.23,4,0,,92*,38.23,,
Chris Lynn,27,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,491,377,,130.23,,,,,,,,,,56,18,56,18,15,1,32.73,3,0,,74,32.73,,
AB de Villiers,198,12,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,11,,480,275,,174.54,,,,,,,,,,39,30,39,30,9,2,53.33,6,0,,90*,53.33,,
MS Dhoni,57,16,,,,10010,,,CSK,Chennai Super Kings,10010,,,15,,455,302,,150.66,,,,,,,,,,24,30,24,30,6,9,75.83,3,0,,79*,75.83,,
Suresh Raina,106,15,,,,10010,,,CSK,Chennai Super Kings,10010,,,15,,445,336,,132.44,,,,,,,,,,46,12,46,12,12,3,37.08,4,0,,75*,37.08,,
Sanju Samson,190,15,,,,10010,,,RR,Rajasthan Royals,10010,,,15,,441,320,,137.81,,,,,,,,,,30,19,30,19,14,1,31.50,3,0,,92*,31.50,,
Shreyas Iyer,12,14,,,,10010,,,DC,Delhi Capitals,10010,,,14,,411,310,,132.58,,,,,,,,,,29,21,29,21,11,3,37.36,4,0,,93*,37.36,,
Evin Lewis,163,13,,,,10010,,,MI,Mumbai Indians,10010,,,13,,382,276,,138.40,,,,,,,,,,32,24,32,24,13,0,29.38,2,0,,65,29.38,,
Ajinkya Rahane,44,15,,,,10010,,,RR,Rajasthan Royals,10010,,,14,,370,313,,118.21,,,,,,,,,,39,5,39,5,13,1,28.46,1,0,,65*,28.46,,
Chris Gayle,126,11,,,,10010,,,PBKS,Punjab Kings,10010,,,11,,368,252,,146.03,,,,,,,,,,30,27,30,27,9,2,40.88,3,1,,104*,40.88,,
Sunil Narine,156,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,357,188,,189.89,,,,,,,,,,40,23,40,23,16,0,22.31,2,0,,75,22.31,,
Robin Uthappa,153,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,351,265,,132.45,,,,,,,,,,30,21,30,21,16,0,21.93,1,0,,54,21.93,,
Andre Russell,141,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,14,,316,171,,184.79,,,,,,,,,,17,31,17,31,11,3,28.72,1,0,,88*,28.72,,
Nitish Rana,148,15,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,15,,304,232,,131.03,,,,,,,,,,26,14,26,14,13,2,23.38,1,0,,59,23.38,,
