StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Chris Gayle,126,15,,,,10004,,,RCB,Royal Challengers Bangalore,10004,,,14,,733,456,,160.74,,,,,,,,,,46,59,46,59,12,2,61.08,7,1,,128*,61.08,,
Gautam Gambhir,0,17,,,,10004,,,KKR,Kolkata Knight Riders,10004,,,17,,590,411,,143.55,,,,,,,,,,64,17,64,17,15,2,39.33,6,0,,93,39.33,,
Shikhar Dhawan,11,15,,,,10004,,,DEC,Deccan Chargers,10004,,,15,,569,439,,129.61,,,,,,,,,,58,18,58,18,14,1,40.64,5,0,,84,40.64,,
Ajinkya Rahane,44,16,,,,10004,,,RR,Rajasthan Royals,10004,,,16,,560,433,,129.33,,,,,,,,,,73,10,73,10,14,2,40.00,3,1,,103*,40.00,,
Virender Sehwag,461,16,,,,10004,,,DC,Delhi Capitals,10004,,,16,,495,307,,161.23,,,,,,,,,,57,19,57,19,15,1,33.00,5,0,,87*,33.00,,
Cameron White,0,13,,,,10004,,,DEC,Deccan Chargers,10004,,,13,,479,320,,149.68,,,,,,,,,,41,20,41,20,11,2,43.54,5,0,,78,43.54,,
Rahul Dravid,0,16,,,,10004,,,RR,Rajasthan Royals,10004,,,16,,462,412,,112.13,,,,,,,,,,63,4,63,4,16,0,28.87,2,0,,58,28.87,,
Suresh Raina,106,19,,,,10004,,,CSK,Chennai Super Kings,10004,,,18,,441,325,,135.69,,,,,,,,,,36,19,36,19,17,1,25.94,1,0,,73,25.94,,
Rohit Sharma,6,17,,,,10004,,,MI,Mumbai Indians,10004,,,16,,433,342,,126.60,,,,,,,,,,39,18,39,18,14,2,30.92,3,1,,109*,30.92,,
Mandeep Singh,132,16,,,,10004,,,PBKS,Punjab Kings,10004,,,16,,432,342,,126.31,,,,,,,,,,53,7,53,7,16,0,27.00,2,0,,75,27.00,,
Jacques Kallis,0,17,,,,10004,,,KKR,Kolkata Knight Riders,10004,,,17,,409,384,,106.51,,,,,,,,,,34,10,34,10,16,1,25.56,2,0,,79,25.56,,
Robin Uthappa,153,16,,,,10004,,,PWI,Pune Warriors India,10004,,,16,,405,343,,118.07,,,,,,,,,,38,10,38,10,15,1,27.00,2,0,,69,27.00,,
Faf du Plessis,94,13,,,,10004,,,CSK,Chennai Super Kings,10004,,,12,,398,304,,130.92,,,,,,,,,,29,17,29,17,12,0,33.16,3,0,,73,33.16,,
David Hussey,0,16,,,,10004,,,PBKS,Punjab Kings,10004,,,15,,396,305,,129.83,,,,,,,,,,28,17,28,17,12,3,33.00,2,0,,68*,33.00,,
Dwayne Bravo,93,19,,,,10004,,,CSK,Chennai Super Kings,10004,,,16,,371,264,,140.53,,,,,,,,,,20,20,20,20,8,8,46.37,0,0,,48,46.37,,
Virat Kohli,2,16,,,,10004,,,RCB,Royal Challengers Bangalore,10004,,,15,,364,326,,111.65,,,,,,,,,,33,9,33,9,13,2,28.00,2,0,,73*,28.00,,
Steve Smith,0,15,,,,10004,,,PWI,Pune Warriors India,10004,,,14,,362,267,,135.58,,,,,,,,,,24,14,24,14,9,5,40.22,0,0,,47*,40.22,,
MS Dhoni,57,19,,,,10004,,,CSK,Chennai Super Kings,10004,,,17,,358,278,,128.77,,,,,,,,,,26,9,26,9,12,5,29.83,1,0,,51*,29.83,,
Owais Shah,0,13,,,,10004,,,RR,Rajasthan Royals,10004,,,13,,340,256,,132.81,,,,,,,,,,24,16,24,16,9,4,37.77,3,0,,76,37.77,,
Shaun Marsh,41,13,,,,10004,,,PBKS,Punjab Kings,10004,,,13,,336,280,,120.00,,,,,,,,,,39,7,39,7,11,2,30.54,2,0,,68*,30.54,,
Murali Vijay,53,14,,,,10004,,,CSK,Chennai Super Kings,10004,,,14,,336,267,,125.84,,,,,,,,,,39,10,39,10,13,1,25.84,0,1,,113,25.84,,
Mahela Jayawardena,0,16,,,,10004,,,DC,Delhi Capitals,10004,,,15,,335,298,,112.41,,,,,,,,,,39,3,39,3,12,3,27.91,3,0,,56*,27.91,,
Ambati Rayudu,60,17,,,,10004,,,MI,Mumbai Indians,10004,,,15,,333,252,,132.14,,,,,,,,,,21,14,21,14,9,6,37.00,2,0,,81*,37.00,,
Sachin Tendulkar,233,13,,,,10004,,,MI,Mumbai Indians,10004,,,13,,324,283,,114.48,,,,,,,,,,39,4,39,4,11,2,29.45,2,0,,74,29.45,,
AB de Villiers,198,16,,,,10004,,,RCB,Royal Challengers Bangalore,10004,,,13,,319,198,,161.11,,,,,,,,,,26,15,26,15,8,5,39.87,3,0,,64*,39.87,,
Kevin Pietersen,0,8,,,,10004,,,DC,Delhi Capitals,10004,,,8,,305,207,,147.34,,,,,,,,,,22,20,22,20,5,3,61.00,1,1,,103*,61.00,,
Brendon McCullum,0,12,,,,10004,,,KKR,Kolkata Knight Riders,10004,,,12,,289,283,,102.12,,,,,,,,,,37,3,37,3,12,0,24.08,1,0,,56,24.08,,
Tillakaratne Dilshan,484,10,,,,10004,,,RCB,Royal Challengers Bangalore,10004,,,9,,285,261,,109.19,,,,,,,,,,33,5,33,5,8,1,35.62,3,0,,76*,35.62,,
Sourav Ganguly,0,15,,,,10004,,,PWI,Pune Warriors India,10004,,,15,,268,271,,98.89,,,,,,,,,,30,4,30,4,15,0,17.86,0,0,,45,17.86,,
Michael Hussey,0,8,,,,10004,,,CSK,Chennai Super Kings,10004,,,8,,261,236,,110.59,,,,,,,,,,28,8,28,8,8,0,32.62,2,0,,56,32.62,,
Manoj Tiwary,0,16,,,,10004,,,KKR,Kolkata Knight Riders,10004,,,15,,260,246,,105.69,,,,,,,,,,21,3,21,3,10,5,26.00,1,0,,59,26.00,,
David Warner,214,8,,,,10004,,,DC,Delhi Capitals,10004,,,8,,256,156,,164.10,,,,,,,,,,28,14,28,14,7,1,36.57,1,1,,109*,36.57,,
Jesse Ryder,0,11,,,,10004,,,PWI,Pune Warriors India,10004,,,11,,256,212,,120.75,,,,,,,,,,23,8,23,8,10,1,25.60,2,0,,86,25.60,,
Shane Watson,104,7,,,,10004,,,RR,Rajasthan Royals,10004,,,7,,255,168,,151.78,,,,,,,,,,26,14,26,14,6,1,42.50,2,0,,90*,42.50,,
Naman Ojha,0,18,,,,10004,,,DC,Delhi Capitals,10004,,,16,,255,224,,113.83,,,,,,,,,,21,13,21,13,11,5,23.18,1,0,,64*,23.18,,
Brad Hodge,449,12,,,,10004,,,RR,Rajasthan Royals,10004,,,12,,245,175,,140.00,,,,,,,,,,18,9,18,9,8,4,30.62,0,0,,48*,30.62,,
JP Duminy,0,9,,,,10004,,,DEC,Deccan Chargers,10004,,,9,,244,190,,128.42,,,,,,,,,,13,11,13,11,3,6,81.33,2,0,,74,81.33,,
Dinesh Karthik,13,17,,,,10004,,,MI,Mumbai Indians,10004,,,14,,238,213,,111.73,,,,,,,,,,30,2,30,2,13,1,18.30,0,0,,44,18.30,,
Mayank Agarwal,55,16,,,,10004,,,RCB,Royal Challengers Bangalore,10004,,,12,,225,158,,142.40,,,,,,,,,,19,15,19,15,11,1,20.45,1,0,,64*,20.45,,
James Franklin,0,12,,,,10004,,,MI,Mumbai Indians,10004,,,11,,220,223,,98.65,,,,,,,,,,15,6,15,6,9,2,24.44,1,0,,79,24.44,,
Kieron Pollard,166,14,,,,10004,,,MI,Mumbai Indians,10004,,,11,,220,159,,138.36,,,,,,,,,,15,14,15,14,9,2,24.44,2,0,,64,24.44,,
Ashok Menaria,0,15,,,,10004,,,RR,Rajasthan Royals,10004,,,12,,220,202,,108.91,,,,,,,,,,14,8,14,8,11,1,20.00,0,0,,40,20.00,,
Manvinder Bisla,0,7,,,,10004,,,KKR,Kolkata Knight Riders,10004,,,7,,213,160,,133.12,,,,,,,,,,16,10,16,10,7,0,30.42,1,0,,89,30.42,,
Kumar Sangakkara,0,12,,,,10004,,,DEC,Deccan Chargers,10004,,,12,,200,184,,108.69,,,,,,,,,,21,4,21,4,11,1,18.18,1,0,,82,18.18,,
Ross Taylor,78,12,,,,10004,,,DC,Delhi Capitals,10004,,,12,,197,171,,115.20,,,,,,,,,,12,7,12,7,10,2,19.70,1,0,,55,19.70,,
Subramaniam Badrinath,0,15,,,,10004,,,CSK,Chennai Super Kings,10004,,,9,,196,181,,108.28,,,,,,,,,,23,2,23,2,7,2,28.00,1,0,,57,28.00,,
Parthiv Patel,48,14,,,,10004,,,DEC,Deccan Chargers,10004,,,13,,194,165,,117.57,,,,,,,,,,19,4,19,4,11,2,17.63,0,0,,45,17.63,,
Yusuf Pathan,226,17,,,,10004,,,KKR,Kolkata Knight Riders,10004,,,16,,194,169,,114.79,,,,,,,,,,10,7,10,7,10,6,19.40,0,0,,40*,19.40,,
