StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
David Warner,214,14,,,,10009,,,SRH,Sunrisers Hyderabad,10009,,,14,,641,452,,141.81,,,,,,,,,,63,26,63,26,11,3,58.27,4,1,,126,58.27,,
Gautam Gambhir,0,16,,,,10009,,,KKR,Kolkata Knight Riders,10009,,,16,,498,389,,128.02,,,,,,,,,,61,7,61,7,12,4,41.50,4,0,,76*,41.50,,
Shikhar Dhawan,11,14,,,,10009,,,SRH,Sunrisers Hyderabad,10009,,,14,,479,376,,127.39,,,,,,,,,,53,9,53,9,13,1,36.84,3,0,,77,36.84,,
Steve Smith,0,15,,,,10009,,,RPS,Rising Pune Supergiant,10009,,,15,,472,387,,121.96,,,,,,,,,,38,12,38,12,12,3,39.33,3,0,,84*,39.33,,
Suresh Raina,106,14,,,,10009,,,GL,Gujarat Lions,10009,,,14,,442,307,,143.97,,,,,,,,,,42,13,42,13,11,3,40.18,3,0,,84,40.18,,
Hashim Amla,285,10,,,,10009,,,PBKS,Punjab Kings,10009,,,10,,420,288,,145.83,,,,,,,,,,40,17,40,17,7,3,60.00,2,2,,104*,60.00,,
Manish Pandey,16,14,,,,10009,,,KKR,Kolkata Knight Riders,10009,,,13,,396,308,,128.57,,,,,,,,,,28,12,28,12,8,5,49.50,2,0,,81*,49.50,,
Parthiv Patel,48,16,,,,10009,,,MI,Mumbai Indians,10009,,,16,,395,293,,134.81,,,,,,,,,,49,8,49,8,16,0,24.68,2,0,,70,24.68,,
Rahul Tripathi,188,14,,,,10009,,,RPS,Rising Pune Supergiant,10009,,,14,,391,267,,146.44,,,,,,,,,,43,17,43,17,14,0,27.92,2,0,,93,27.92,,
Robin Uthappa,153,14,,,,10009,,,KKR,Kolkata Knight Riders,10009,,,13,,388,235,,165.10,,,,,,,,,,36,21,36,21,13,0,29.84,5,0,,87,29.84,,
Sanju Samson,190,14,,,,10009,,,DC,Delhi Capitals,10009,,,14,,386,273,,141.39,,,,,,,,,,32,19,32,19,14,0,27.57,2,1,,102,27.57,,
Kieron Pollard,166,17,,,,10009,,,MI,Mumbai Indians,10009,,,16,,385,276,,139.49,,,,,,,,,,26,22,26,22,13,3,29.61,3,0,,70,29.61,,
Ajinkya Rahane,44,16,,,,10009,,,RPS,Rising Pune Supergiant,10009,,,16,,382,323,,118.26,,,,,,,,,,35,9,35,9,15,1,25.46,2,0,,60,25.46,,
Rishabh Pant,18,14,,,,10009,,,DC,Delhi Capitals,10009,,,14,,366,221,,165.61,,,,,,,,,,28,24,28,24,14,0,26.14,2,0,,97,26.14,,
Dinesh Karthik,13,14,,,,10009,,,GL,Gujarat Lions,10009,,,13,,361,259,,139.38,,,,,,,,,,30,11,30,11,10,3,36.10,2,0,,65,36.10,,
Shreyas Iyer,12,12,,,,10009,,,DC,Delhi Capitals,10009,,,12,,338,243,,139.09,,,,,,,,,,36,10,36,10,10,2,33.80,2,0,,96,33.80,,
Nitish Rana,148,13,,,,10009,,,MI,Mumbai Indians,10009,,,12,,333,264,,126.13,,,,,,,,,,24,17,24,17,11,1,30.27,3,0,,62*,30.27,,
Rohit Sharma,6,17,,,,10009,,,MI,Mumbai Indians,10009,,,16,,333,273,,121.97,,,,,,,,,,31,9,31,9,14,2,23.78,3,0,,67,23.78,,
Manoj Tiwary,0,15,,,,10009,,,RPS,Rising Pune Supergiant,10009,,,13,,324,236,,137.28,,,,,,,,,,31,11,31,11,10,3,32.40,2,0,,60,32.40,,
Brendon McCullum,0,11,,,,10009,,,GL,Gujarat Lions,10009,,,11,,319,217,,147.00,,,,,,,,,,29,18,29,18,11,0,29.00,2,0,,72,29.00,,
Ben Stokes,177,12,,,,10009,,,RPS,Rising Pune Supergiant,10009,,,11,,316,221,,142.98,,,,,,,,,,22,15,22,15,10,1,31.60,1,1,,103*,31.60,,
Glenn Maxwell,28,14,,,,10009,,,PBKS,Punjab Kings,10009,,,13,,310,179,,173.18,,,,,,,,,,19,26,19,26,10,3,31.00,0,0,,47,31.00,,
Virat Kohli,2,10,,,,10009,,,RCB,Royal Challengers Bangalore,10009,,,10,,308,252,,122.22,,,,,,,,,,23,11,23,11,10,0,30.80,4,0,,64,30.80,,
Aaron Finch,3,13,,,,10009,,,GL,Gujarat Lions,10009,,,13,,299,180,,166.11,,,,,,,,,,25,19,25,19,12,1,24.91,2,0,,72,24.91,,
Chris Lynn,27,7,,,,10009,,,KKR,Kolkata Knight Riders,10009,,,7,,295,163,,180.98,,,,,,,,,,25,19,25,19,6,1,49.16,3,0,,93*,49.16,,
MS Dhoni,57,16,,,,10009,,,RPS,Rising Pune Supergiant,10009,,,15,,290,250,,116.00,,,,,,,,,,15,16,15,16,11,4,26.36,1,0,,61*,26.36,,
Karun Nair,131,14,,,,10009,,,DC,Delhi Capitals,10009,,,13,,281,226,,124.33,,,,,,,,,,39,6,39,6,13,0,21.61,1,0,,64,21.61,,
Ishan Kishan,164,11,,,,10009,,,GL,Gujarat Lions,10009,,,10,,277,206,,134.46,,,,,,,,,,29,13,29,13,10,0,27.70,1,0,,61,27.70,,
Moises Henriques,133,12,,,,10009,,,SRH,Sunrisers Hyderabad,10009,,,11,,277,203,,136.45,,,,,,,,,,28,4,28,4,6,5,46.16,3,0,,55*,46.16,,
Jos Buttler,182,10,,,,10009,,,MI,Mumbai Indians,10009,,,10,,272,177,,153.67,,,,,,,,,,27,15,27,15,10,0,27.20,1,0,,77,27.20,,
Kedar Jadhav,58,13,,,,10009,,,RCB,Royal Challengers Bangalore,10009,,,13,,267,186,,143.54,,,,,,,,,,25,10,25,10,12,1,22.25,1,0,,69,22.25,,
Shaun Marsh,41,9,,,,10009,,,PBKS,Punjab Kings,10009,,,8,,264,194,,136.08,,,,,,,,,,36,5,36,5,8,0,33.00,2,0,,84,33.00,,
Kane Williamson,65,7,,,,10009,,,SRH,Sunrisers Hyderabad,10009,,,7,,256,169,,151.47,,,,,,,,,,20,10,20,10,6,1,42.66,2,0,,89,42.66,,
Yuvraj Singh,175,12,,,,10009,,,SRH,Sunrisers Hyderabad,10009,,,11,,252,177,,142.37,,,,,,,,,,30,8,30,8,9,2,28.00,2,0,,70*,28.00,,
Hardik Pandya,54,17,,,,10009,,,MI,Mumbai Indians,10009,,,16,,250,160,,156.25,,,,,,,,,,11,20,11,20,7,9,35.71,0,0,,35*,35.71,,
Krunal Pandya,17,13,,,,10009,,,MI,Mumbai Indians,10009,,,11,,243,179,,135.75,,,,,,,,,,24,7,24,7,7,4,34.71,0,0,,47,34.71,,
Dwayne Smith,0,12,,,,10009,,,GL,Gujarat Lions,10009,,,12,,239,156,,153.20,,,,,,,,,,32,8,32,8,11,1,21.72,2,0,,74,21.72,,
Wriddhiman Saha,225,14,,,,10009,,,PBKS,Punjab Kings,10009,,,11,,234,187,,125.13,,,,,,,,,,20,8,20,8,10,1,23.40,1,0,,93*,23.40,,
Manan Vohra,185,11,,,,10009,,,PBKS,Punjab Kings,10009,,,9,,229,159,,144.02,,,,,,,,,,23,9,23,9,9,0,25.44,1,0,,95,25.44,,
Axar Patel,110,14,,,,10009,,,PBKS,Punjab Kings,10009,,,13,,227,162,,140.12,,,,,,,,,,11,11,11,11,8,5,28.37,0,0,,44,28.37,,
Sunil Narine,156,16,,,,10009,,,KKR,Kolkata Knight Riders,10009,,,14,,224,130,,172.30,,,,,,,,,,34,10,34,10,13,1,17.23,1,0,,54,17.23,,
AB de Villiers,198,9,,,,10009,,,RCB,Royal Challengers Bangalore,10009,,,9,,216,163,,132.51,,,,,,,,,,12,16,12,16,8,1,27.00,1,0,,89*,27.00,,
