BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,17,,17,,15,,490,156,,,21.30,17.21,17.21,,,7.42,66,,,,6,1,,,,,23,,,,5/19,5/19,3,,1,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,13,,13,,10,,401,100,,,19.09,14.04,14.04,,,8.15,49,,,,0,0,,,,,21,,,,4/25,4/25,0,,1,0,,0
Shane Watson,,,RCB,Royal Challengers Bangalore,16,,16,,104,,485,121,,,24.25,16.95,16.95,,,8.58,56,,,,14,12,,,,,20,,,,4/29,4/29,0,,1,0,,0
Dhawal Kulkarni,,,GL,Gujarat Lions,14,,14,,178,,364,130,,,20.22,16.33,16.33,,,7.42,49,,,,2,0,,,,,18,,,,4/14,4/14,4,,1,0,,0
Mitchell McClenaghan,,,MI,Mumbai Indians,14,,14,,0,,436,128,,,25.64,18.82,18.82,,,8.17,53,,,,2,3,,,,,17,,,,4/21,4/21,0,,1,0,,0
Dwayne Bravo,,,GL,Gujarat Lions,15,,15,,93,,494,93,,,29.05,19.76,19.76,,,8.82,56,,,,11,1,,,,,17,,,,4/22,4/22,0,,1,0,,0
Mustafizur Rahman,,,SRH,Sunrisers Hyderabad,16,,16,,258,,421,137,,,24.76,21.52,21.52,,,6.90,61,,,,0,0,,,,,17,,,,3/16,3/16,1,,0,0,,0
Jasprit Bumrah,,,MI,Mumbai Indians,14,,14,,9,,406,108,,,27.06,20.80,20.80,,,7.80,52,,,,1,0,,,,,15,,,,4/14,4/14,0,,0,0,,0
Sandeep Sharma,,,PBKS,Punjab Kings,14,,14,,220,,366,127,,,24.40,20.00,20.00,,,7.32,50,,,,0,0,,,,,15,,,,4/20,4/20,1,,0,0,,0
Andre Russell,,,KKR,Kolkata Knight Riders,12,,12,,141,,291,90,,,19.40,14.60,14.60,,,7.97,36,,,,10,15,,,,,15,,,,5/15,5/15,0,,1,0,,0
