BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Kagiso Rabada,,,DC,Delhi Capitals,17,,17,,116,,548,156,,,18.26,13.13,13.13,,,8.34,65,,,,4,2,,,,,30,,,,4/21,4/21,1,,2,0,,0
Jasprit Bumrah,,,MI,Mumbai Indians,15,,15,,9,,404,175,,,14.96,13.33,13.33,,,6.73,60,,,,0,0,,,,,27,,,,4/14,4/14,2,,2,0,,0
Trent Boult,,,MI,Mumbai Indians,15,,15,,66,,457,157,,,18.28,13.76,13.76,,,7.97,57,,,,0,0,,,,,25,,,,4/18,4/18,3,,1,0,,0
Anrich Nortje,,,DC,Delhi Capitals,16,,16,,142,,512,160,,,23.27,16.63,16.63,,,8.39,61,,,,0,0,,,,,22,,,,3/33,3/33,0,,0,0,,0
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,15,,15,,10,,405,118,,,19.28,16.33,16.33,,,7.08,57,,,,0,0,,,,,21,,,,4/25,4/25,0,,0,0,,0
Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,460,140,,,23.00,16.10,16.10,,,8.57,53,,,,0,0,,,,,20,,,,3/15,3/15,0,,0,0,,0
Jofra Archer,,,RR,Mumbai Indians,14,,14,,181,,365,175,,,18.25,16.70,16.70,,,6.55,55,,,,5,10,,,,,20,,,,3/15,3/15,0,,0,0,,0
Rashid Khan,,,SRH,Sunrisers Hyderabad,16,,16,,218,,344,168,,,17.20,19.20,19.20,,,5.37,64,,,,3,2,,,,,20,,,,3/19,3/19,1,,0,0,,0
Varun Chakaravarthy,,,KKR,Kolkata Knight Riders,13,,13,,140,,356,111,,,20.94,18.35,18.35,,,6.84,52,,,,0,0,,,,,17,,,,5/20,5/20,0,,0,1,,0
T Natarajan,,,SRH,Sunrisers Hyderabad,16,,16,,224,,504,136,,,31.50,23.56,23.56,,,8.02,63,,,,0,0,,,,,16,,,,2/24,2/24,1,,0,0,,0
Rahul Chahar,,,MI,Mumbai Indians,15,,15,,171,,433,104,,,28.86,21.20,21.20,,,8.16,53,,,,0,0,,,,,15,,,,4/27,4/27,0,,0,0,,0
