BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Dwayne Bravo,,,CSK,Chennai Super Kings,18,,18,,93,,497,135,,,15.53,11.71,11.71,,,7.95,62,,,,11,3,,,,,32,,,,4/22,4/22,0,,1,0,,0
James Faulkner,,,RR,Rajasthan Royals,16,,16,,0,,427,161,,,15.25,13.53,13.53,,,6.75,63,,,,5,2,,,,,28,,,,5/16,5/16,2,,0,2,,0
Harbhajan Singh,,,MI,Mumbai Indians,19,,19,,95,,456,163,,,19.00,17.50,17.50,,,6.51,70,,,,12,5,,,,,24,,,,5/18,5/18,0,,0,0,,0
Mitchell Johnson,,,MI,Mumbai Indians,17,,17,,0,,459,188,,,19.12,16.00,16.00,,,7.17,64,,,,2,2,,,,,24,,,,3/26,3/26,0,,0,0,,0
Vinay Kumar,,,RCB,Royal Challengers Bangalore,16,,16,,0,,493,124,,,21.43,15.69,15.69,,,8.19,60,,,,6,3,,,,,23,,,,4/40,4/40,0,,0,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,16,,16,,156,,350,180,,,15.90,17.45,17.45,,,5.46,64,,,,0,2,,,,,22,,,,5/19,5/19,1,,2,0,,1
Amit Mishra,,,SRH,Sunrisers Hyderabad,17,,17,,107,,394,151,,,18.76,17.71,17.71,,,6.35,62,,,,9,0,,,,,21,,,,5/17,5/17,1,,1,0,,1
Lasith Malinga,,,MI,Mumbai Indians,17,,17,,167,,468,147,,,23.40,19.60,19.60,,,7.16,65,,,,1,0,,,,,20,,,,5/13,5/13,0,,0,0,,0
Mohit Sharma,,,CSK,Chennai Super Kings,15,,15,,100,,326,161,,,16.30,15.20,15.20,,,6.43,50,,,,0,0,,,,,20,,,,4/14,4/14,0,,0,0,,0
Dale Steyn,,,SRH,Sunrisers Hyderabad,17,,17,,230,,384,211,,,20.21,21.42,21.42,,,5.66,68,,,,5,2,,,,,19,,,,3/11,3/11,3,,0,0,,0
Kevon Cooper,,,RR,Rajasthan Royals,14,,14,,0,,449,98,,,23.63,17.05,17.05,,,8.31,54,,,,4,2,,,,,19,,,,4/26,4/26,0,,0,0,,0
Thisara Perera,,,SRH,Sunrisers Hyderabad,16,,16,,279,,478,136,,,25.15,18.84,18.84,,,8.01,59,,,,12,14,,,,,19,,,,3/20,3/20,0,,0,0,,0
Ashok Dinda,,,PWI,Pune Warriors India,13,,13,,0,,465,105,,,29.06,18.37,18.37,,,9.48,49,,,,1,0,,,,,16,,,,4/18,4/18,0,,0,0,,0
Jacques Kallis,,,KKR,Kolkata Knight Riders,16,,15,,0,,394,112,,,24.62,19.87,19.87,,,7.43,53,,,,35,3,,,,,16,,,,3/13,3/13,1,,0,0,,0
Pragyan Ojha,,,MI,Mumbai Indians,16,,15,,459,,381,108,,,23.81,19.62,19.62,,,7.28,52,,,,0,0,,,,,16,,,,3/11,3/11,0,,0,0,,0
Umesh Yadav,,,DC,Delhi Capitals,16,,16,,21,,508,126,,,31.75,21.68,21.68,,,8.78,58,,,,3,1,,,,,16,,,,4/24,4/24,0,,1,0,,0
Azhar Mahmood,,,PBKS,Punjab Kings,11,,11,,0,,330,99,,,22.00,17.53,17.53,,,7.52,44,,,,22,5,,,,,15,,,,3/20,3/20,0,,0,0,,0
Chris Morris,,,CSK,Chennai Super Kings,16,,16,,112,,401,113,,,26.73,20.00,20.00,,,8.02,50,,,,0,0,,,,,15,,,,4/23,4/23,0,,0,0,,0
Ishant Sharma,,,SRH,Sunrisers Hyderabad,16,,16,,50,,466,160,,,31.06,23.86,23.86,,,7.81,59,,,,0,0,,,,,15,,,,5/12,5/12,2,,0,0,,0
