BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Mohammad Shami,true,Indian,GT,Gujarat Titans,17,107,17,35,2018-100mb00000000047-1bfc8ff2f88b11,390,522,193,49.48,209,18.64,13.92,13.92,67.81,5.00,8.03,65.0,90,27,3,57,21,11,2,1,9,28,11,4,11,4,11/4,11/4,2,1,2,0,0,94
Mohit Sharma,true,Indian,GT,Gujarat Titans,14,107,14,35,2019-100mb00000000100-f196053e43f611,265,361,87,32.83,181,13.37,9.81,9.81,57.61,6.02,8.17,44.1,118,16,0,28,16,3,0,0,1,27,10,5,10,5,10/5,10/5,0,0,2,1,0,1107
Rashid Khan,true,Overseas,GT,Gujarat Titans,17,107,17,35,2019-100mb00000000218-42d9d6f544bf11,402,552,134,33.33,273,20.44,14.88,14.88,57.24,6.09,8.23,67.0,173,29,0,40,26,5,0,1,4,27,30,4,30,4,30/4,30/4,0,0,1,0,0,2885
Piyush Chawla,false,Indian,MI,Mumbai Indians,16,107,16,17,2019-100mb00000000149-10d5663944a911,366,495,121,33.06,250,22.50,16.63,16.63,57.77,5.90,8.11,61.0,161,22,1,43,19,5,0,0,4,22,22,3,22,3,22/3,22/3,0,0,0,0,0,76
Yuzvendra Chahal,true,Indian,RR,Rajasthan Royals,14,107,14,18,2018-100mb00000000010-b76159ade99b11,317,432,97,30.59,229,20.57,15.09,15.09,49.53,6.89,8.17,52.5,141,31,2,31,15,9,0,0,2,21,17,4,17,4,17/4,17/4,0,0,3,0,0,111
Tushar Deshpande,false,Indian,CSK,Chennai Super Kings,16,107,16,13,2020-100mb00000000539-04833b65639b11,341,564,137,40.17,230,26.85,16.23,16.23,69.50,4.05,9.92,56.5,93,30,0,56,28,23,4,0,16,21,45,3,45,3,45/3,45/3,0,0,0,0,0,3257
Ravindra Jadeja,false,Indian,CSK,Chennai Super Kings,16,107,16,13,2018-100mb00000000046-06b5ba89f88b11,342,431,107,31.28,241,21.55,17.10,17.10,48.25,8.14,7.56,57.0,172,22,0,22,20,6,0,0,1,20,20,3,20,3,20/3,20/3,0,0,0,0,0,9
Varun Chakaravarthy,true,Indian,KKR,Kolkata Knight Riders,14,107,14,16,2019-100mb00000000140-a41b85f2449d11,316,429,124,39.24,199,21.45,15.80,15.80,64.33,5.44,8.14,52.4,121,16,0,36,22,7,0,5,11,20,15,4,15,4,15/4,15/4,1,1,1,0,0,5432
Mohammed Siraj,true,Indian,RCB,Royal Challengers Bangalore,14,107,14,19,2019-100mb00000000063-d9aa7a01187311,300,376,161,53.66,168,19.78,15.78,15.78,69.14,5.08,7.52,50.0,72,13,0,47,12,27,2,7,12,19,21,4,21,4,21/4,21/4,0,0,1,0,0,3840
Matheesha Pathirana,true,Overseas,CSK,Chennai Super Kings,12,107,12,13,2022-100mb00000001014-1f0cfb3dc17911,278,371,104,37.41,206,19.52,14.63,14.63,47.97,6.95,8.00,46.2,112,23,3,31,9,31,1,1,14,19,15,3,15,3,15/3,15/3,0,0,0,0,0,20627
Arshdeep Singh,false,Indian,PBKS,Punjab Kings,14,107,14,15,2019-100mb00000000125-2485f88b449911,305,493,114,37.37,210,29.00,17.94,17.94,69.77,3.91,9.69,50.5,97,15,1,62,16,19,0,0,4,17,29,4,29,4,29/4,29/4,0,0,1,0,0,4698
Ravi Bishnoi,true,Indian,LSG,Lucknow Super Giants,15,107,14,77,2020-100mb00000000520-c2b1e0df638711,303,391,97,32.01,215,24.43,18.93,18.93,48.08,7.76,7.74,50.3,145,23,1,23,16,7,2,1,2,16,28,3,28,3,28/3,28/3,0,0,0,0,0,19351
Noor Ahmad,true,Overseas,GT,Gujarat Titans,13,107,13,35,2022-100mb00000000975-56f6385ba44611,283,369,103,36.39,196,23.06,17.68,17.68,52.57,6.73,7.82,47.1,118,21,1,29,13,15,1,0,6,16,37,3,37,3,37/3,37/3,0,0,0,0,0,20590
Bhuvneshwar Kumar,true,Indian,SRH,Sunrisers Hyderabad,14,107,14,20,2018-100mb00000000015-3501d442e99c11,306,425,128,41.83,191,26.56,19.12,19.12,63.52,4.93,8.33,51.0,95,19,3,51,11,13,0,1,6,16,30,5,30,5,30/5,30/5,1,1,0,1,0,116
Ravichandran Ashwin,true,Indian,RR,Rajasthan Royals,13,107,13,18,2018-100mb00000000045-f658f1b6f88a11,294,368,90,30.61,219,26.28,21.00,21.00,44.56,8.64,7.51,49.0,153,16,1,20,14,15,0,0,2,14,23,2,23,2,23/2,23/2,0,0,0,0,0,8
Akash Madhwal,true,Indian,MI,Mumbai Indians,8,107,8,17,2022-100mb00000001045-ff63138dd51a11,153,219,53,34.64,107,15.64,10.92,10.92,53.88,6.12,8.58,25.3,64,15,0,16,9,2,5,0,3,14,5,5,5,5,5/5,5/5,0,0,1,1,0,20681
Jason Behrendorff,true,Overseas,MI,Mumbai Indians,12,107,12,17,2018-100mb00000000004-1b6e3321e99b11,252,387,92,36.50,170,27.64,18.00,18.00,67.18,4.50,9.21,42.0,92,13,1,38,18,10,0,2,6,14,23,3,23,3,23/3,23/3,0,0,0,0,0,937
Harshal Patel,true,Indian,RCB,Royal Challengers Bangalore,13,107,13,19,2019-100mb00000000114-8c98068c449611,282,454,87,30.85,214,32.42,20.14,20.14,60.35,4.86,9.65,47.0,122,20,0,37,21,15,5,2,12,14,32,3,32,3,32/3,32/3,0,0,0,0,0,157
