StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Kyle Mayers,726,13,0000-00-00,false,Overseas,107,2021-100mb00000000726-71413e194a7c11,77,LSG,Lucknow Super Giants,107,77,2021-100mb00000000726-71413e194a7c11,13,24,379,263,128,144.10,48.66,2.05,4.38,74.93,2.80,135,58,16,0,38,22,13,0,NA,4,0,0,73,29.15,2,0,20587
Shikhar Dhawan,11,11,0000-00-00,false,Indian,107,2018-100mb00000000011-cbf5eb14e99b11,15,PBKS,Punjab Kings,107,15,2018-100mb00000000011-cbf5eb14e99b11,11,27,373,261,108,142.91,41.37,2.41,4.27,71.84,2.43,153,79,13,0,49,12,9,2,186.50,3,0,0,99*,41.44,4,0,41
Wriddhiman Saha,225,17,0000-00-00,true,Indian,107,2019-100mb00000000225-a11ad1bc44c011,35,GT,Gujarat Titans,107,35,2019-100mb00000000225-a11ad1bc44c011,17,24,371,287,117,129.26,40.76,2.45,5.21,63.61,2.18,170,96,18,1,47,8,16,1,371.00,2,0,0,81,23.19,9,2,16
Sanju Samson,190,14,0000-00-00,true,Indian,107,2019-100mb00000000190-c62cbae544b711,18,RR,Rajasthan Royals,107,18,2019-100mb00000000190-c62cbae544b711,14,11,362,236,82,153.38,34.74,2.87,4.81,67.40,2.35,154,92,13,0,25,24,12,2,181.00,3,0,0,66*,30.17,3,3,258
Sai Sudharsan,976,8,0000-00-00,false,Indian,107,2022-100mb00000000976-79aa33cca44611,35,GT,Gujarat Titans,107,35,2022-100mb00000000976-79aa33cca44611,8,18,362,256,76,141.40,29.68,3.36,5.68,56.35,2.01,180,114,19,2,33,12,7,1,362.00,3,0,0,96,51.71,2,0,20592
Nicholas Pooran,136,15,0000-00-00,false,Overseas,107,2019-100mb00000000136-9313d156449c11,77,LSG,Lucknow Super Giants,107,77,2019-100mb00000000136-9313d156449c11,15,12,358,207,68,172.94,32.85,3.04,3.98,72.62,2.57,139,76,11,0,26,26,12,3,119.33,2,0,0,62,29.83,6,3,1703
Simran Singh,137,14,0000-00-00,true,Indian,107,2019-100mb00000000137-d774e3d1449c11,15,PBKS,Punjab Kings,107,15,2019-100mb00000000137-d774e3d1449c11,14,15,358,238,104,150.42,43.69,2.28,4.17,74.30,2.67,134,63,13,1,38,19,14,0,NA,1,1,0,103,25.57,1,0,5436
Hardik Pandya,54,16,0000-00-00,true,Indian,107,2018-100mb00000000054-e3ebefa2050a11,35,GT,Gujarat Titans,107,35,2018-100mb00000000054-e3ebefa2050a11,15,8,346,253,79,136.75,31.22,3.20,6.17,56.06,1.98,174,114,19,0,26,15,11,4,86.50,2,0,0,66,31.45,7,0,2740
Tilak Varma,993,11,0000-00-00,false,Indian,107,2022-100mb00000000993-60c58f9ea44c11,17,MI,Mumbai Indians,107,17,2022-100mb00000000993-60c58f9ea44c11,11,21,343,209,72,164.11,34.44,2.90,4.26,70.55,2.50,137,75,13,0,26,23,8,3,114.33,1,0,0,84*,42.88,4,0,20594
Rohit Sharma,6,16,0000-00-00,true,Indian,107,2018-100mb00000000006-2cf4bba8e99b11,17,MI,Mumbai Indians,107,17,2018-100mb00000000006-2cf4bba8e99b11,16,19,332,250,113,132.80,45.20,2.21,4.80,72.89,2.42,137,80,5,0,35,17,16,0,NA,2,0,0,65,20.75,1,0,107
Ajinkya Rahane,44,14,0000-00-00,true,Indian,107,2018-100mb00000000044-e03a43dbf88a11,13,CSK,Chennai Super Kings,107,13,2018-100mb00000000044-e03a43dbf88a11,11,10,326,189,38,172.48,20.10,4.97,4.72,58.89,2.15,151,90,19,2,24,16,10,1,326.00,2,0,0,71*,32.60,8,0,135
Jitesh Sharma,1000,14,0000-00-00,true,Indian,107,2022-100mb00000001000-d90666b7a44d11,15,PBKS,Punjab Kings,107,15,2022-100mb00000001000-d90666b7a44d11,14,17,309,198,75,156.06,37.87,2.64,4.60,69.25,2.51,123,65,15,0,22,21,13,1,309.00,0,0,0,49*,23.77,3,2,3185
Vijay Shankar,61,14,0000-00-00,true,Indian,107,2019-100mb00000000061-6d68257c17f311,35,GT,Gujarat Titans,107,35,2019-100mb00000000061-6d68257c17f311,10,24,301,188,58,160.10,30.85,3.24,4.47,65.78,2.31,130,73,15,0,27,15,8,2,150.50,3,0,0,63*,37.63,2,0,1083
Shimron Hetmyer,210,14,0000-00-00,false,Overseas,107,2019-100mb00000000210-b8addb3444bb11,18,RR,Rajasthan Royals,107,18,2019-100mb00000000210-b8addb3444bb11,13,12,300,197,66,152.28,33.50,2.98,5.62,62.00,2.29,131,78,18,0,12,23,8,5,60.00,1,0,0,56*,37.50,11,0,1705
Jason Roy,313,8,0000-00-00,true,Indian,107,2019-100mb00000000313-081469067aef11,16,KKR,Kolkata Knight Riders,107,16,2019-100mb00000000313-081469067aef11,8,12,285,188,76,151.59,40.42,2.47,3.91,75.78,2.54,112,59,5,0,36,12,8,0,NA,2,0,0,61,35.63,2,0,1906
Axar Patel,110,14,0000-00-00,false,Indian,107,2019-100mb00000000110-79ae08f5449411,14,DC,Delhi Capitals,107,14,2019-100mb00000000110-79ae08f5449411,13,18,283,203,70,139.40,34.48,2.90,5.63,61.48,2.12,133,85,12,0,21,15,10,3,94.33,1,0,0,54,28.30,7,0,1113
Liam Livingstone,183,9,0000-00-00,true,Overseas,107,2019-100mb00000000183-f4a991db44b611,15,PBKS,Punjab Kings,107,15,2019-100mb00000000183-f4a991db44b611,9,20,279,171,56,163.15,32.74,3.05,4.38,69.53,2.42,115,67,9,0,20,19,8,1,279.00,2,0,0,94,34.88,3,0,3644
Sam Curran,138,14,0000-00-00,false,Indian,107,2019-100mb00000000138-5bd8fcf6449d11,15,PBKS,Punjab Kings,107,15,2019-100mb00000000138-5bd8fcf6449d11,13,15,276,203,69,135.96,33.99,2.94,6.15,57.24,2.05,134,84,17,0,20,13,10,3,92.00,1,0,0,55,27.60,5,0,2939
K L Rahul,19,9,0000-00-00,true,Indian,107,2018-100mb00000000019-80e59e32e99c11,77,LSG,Lucknow Super Giants,107,77,2018-100mb00000000019-80e59e32e99c11,9,13,274,242,92,113.22,38.01,2.63,7.56,49.63,1.82,150,98,20,0,28,4,8,1,274.00,2,0,0,74,34.25,4,0,1125
Rahul Tripathi,188,13,0000-00-00,true,Indian,107,2019-100mb00000000188-896b509b44b711,20,SRH,Sunrisers Hyderabad,107,20,2019-100mb00000000188-896b509b44b711,13,10,273,213,87,128.16,40.84,2.44,5.46,64.46,2.16,126,78,8,1,29,10,12,1,273.00,1,0,0,74*,22.75,2,0,3838
Mayank Agarwal,55,10,0000-00-00,true,Indian,107,2018-100mb00000000055-ed853d8f050a11,20,SRH,Sunrisers Hyderabad,107,20,2018-100mb00000000055-ed853d8f050a11,10,16,270,210,70,128.57,33.33,3.00,6.00,56.29,1.92,140,93,11,1,29,6,10,0,NA,1,0,0,83,27.00,6,0,158
Devdutt Padikkal,200,11,0000-00-00,false,Indian,107,2019-100mb00000000200-1283ad3244ba11,18,RR,Rajasthan Royals,107,18,2019-100mb00000000200-1283ad3244ba11,11,10,261,200,73,130.50,36.50,2.73,5.40,61.30,2.05,127,81,7,2,31,6,10,1,261.00,2,0,0,52,26.10,4,0,5430
David Miller,128,16,0000-00-00,false,Overseas,107,2019-100mb00000000128-e95bebea449911,35,GT,Gujarat Titans,107,35,2019-100mb00000000128-e95bebea449911,13,15,259,178,51,145.50,28.65,3.49,5.74,57.91,2.03,127,83,13,0,18,13,8,5,51.80,0,0,0,46,32.38,11,0,187
Aiden Markram,287,13,0000-00-00,true,Overseas,107,2019-100mb00000000287-ca1a6bb17ae311,20,SRH,Sunrisers Hyderabad,107,20,2019-100mb00000000287-ca1a6bb17ae311,13,3,248,197,57,125.88,28.93,3.45,7.57,48.38,1.77,140,101,12,1,18,8,11,2,124.00,1,0,0,50,22.55,10,0,1667
Nehal Wadera,1541,14,0000-00-00,false,Indian,107,2022-100mb00000001541-e0ad58e954e911,17,MI,Mumbai Indians,107,17,2022-100mb00000001541-e0ad58e954e911,10,15,241,166,62,145.18,37.34,2.67,4.74,68.04,2.31,104,61,8,0,23,12,9,1,241.00,2,0,0,64,26.78,4,0,5859
Ayush Badoni,985,15,0000-00-00,true,Indian,107,2022-100mb00000000985-f5950061a44811,77,LSG,Lucknow Super Giants,107,77,2022-100mb00000000985-f5950061a44811,12,24,238,172,56,138.37,32.55,3.07,6.88,52.10,2.05,116,71,17,3,13,12,10,2,119.00,1,0,0,59*,23.80,2,0,20586
Tim David,636,16,0000-00-00,true,Overseas,107,2021-100mb00000000636-9e985b64160411,17,MI,Mumbai Indians,107,17,2021-100mb00000000636-9e985b64160411,15,14,231,146,39,158.21,26.71,3.74,5.40,59.74,2.15,107,67,13,0,12,15,9,6,38.50,0,0,0,45*,25.67,10,0,4524
Andre Russell,141,14,0000-00-00,true,Overseas,107,2019-100mb00000000141-e67c41d144a711,16,KKR,Kolkata Knight Riders,107,16,2019-100mb00000000141-e67c41d144a711,14,7,227,156,67,145.51,42.94,2.32,5.03,70.48,2.55,89,49,9,0,13,18,11,3,75.66,0,0,0,42,20.64,6,0,177
Rahmanullah Gurbaz,641,11,0000-00-00,true,Overseas,107,2021-100mb00000000641-324bd4322fe511,16,KKR,Kolkata Knight Riders,107,16,2021-100mb00000000641-324bd4322fe511,11,25,227,170,81,133.52,47.64,2.09,5.31,69.60,2.55,89,46,10,1,17,15,11,0,NA,2,0,0,81,20.64,10,0,20625
