StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Matthew Hayden,0,12,,,,10001,,,CSK,Chennai Super Kings,10001,,,12,,572,395,,144.81,,,,,,,,,,60,22,60,22,11,1,52.00,5,0,,89,52.00,,
Adam Gilchrist,0,16,,,,10001,,,DEC,Deccan Chargers,10001,,,16,,495,325,,152.30,,,,,,,,,,54,29,54,29,16,0,30.93,3,0,,85,30.93,,
Suresh Raina,106,14,,,,10001,,,CSK,Chennai Super Kings,10001,,,14,,434,308,,140.90,,,,,,,,,,37,21,37,21,14,0,31.00,2,0,,98,31.00,,
JP Duminy,0,13,,,,10001,,,MI,Mumbai Indians,10001,,,12,,372,325,,114.46,,,,,,,,,,26,11,26,11,9,3,41.33,5,0,,62,41.33,,
Herschelle Gibbs,471,14,,,,10001,,,DEC,Deccan Chargers,10001,,,14,,371,331,,112.08,,,,,,,,,,32,12,32,12,11,3,33.72,4,0,,69*,33.72,,
Brad Hodge,449,12,,,,10001,,,KKR,Kolkata Knight Riders,10001,,,12,,365,310,,117.74,,,,,,,,,,34,9,34,9,9,3,40.55,3,0,,73,40.55,,
Sachin Tendulkar,233,13,,,,10001,,,MI,Mumbai Indians,10001,,,13,,364,303,,120.13,,,,,,,,,,39,10,39,10,11,2,33.09,2,0,,68,33.09,,
Rohit Sharma,6,16,,,,10001,,,DEC,Deccan Chargers,10001,,,16,,362,315,,114.92,,,,,,,,,,22,18,22,18,13,3,27.84,1,0,,52,27.84,,
Jacques Kallis,0,15,,,,10001,,,RCB,Royal Challengers Bangalore,10001,,,15,,361,332,,108.73,,,,,,,,,,37,8,37,8,13,2,27.76,3,0,,69*,27.76,,
Yuvraj Singh,175,14,,,,10001,,,PBKS,Punjab Kings,10001,,,14,,340,294,,115.64,,,,,,,,,,25,16,25,16,12,2,28.33,2,0,,58*,28.33,,
Kumar Sangakkara,0,14,,,,10001,,,PBKS,Punjab Kings,10001,,,13,,332,324,,102.46,,,,,,,,,,29,5,29,5,11,2,30.18,2,0,,60,30.18,,
MS Dhoni,57,14,,,,10001,,,CSK,Chennai Super Kings,10001,,,13,,332,261,,127.20,,,,,,,,,,22,9,22,9,8,5,41.50,2,0,,58*,41.50,,
Ravindra Jadeja,46,13,,,,10001,,,RR,Rajasthan Royals,10001,,,13,,295,266,,110.90,,,,,,,,,,21,6,21,6,11,2,26.81,0,0,,42,26.81,,
Brendon McCullum,0,13,,,,10001,,,KKR,Kolkata Knight Riders,10001,,,13,,285,239,,119.24,,,,,,,,,,27,12,27,12,12,1,23.75,2,0,,84*,23.75,,
Ross Taylor,78,11,,,,10001,,,RCB,Royal Challengers Bangalore,10001,,,11,,280,208,,134.61,,,,,,,,,,20,15,20,15,9,2,31.11,1,0,,81*,31.11,,
Rahul Dravid,0,13,,,,10001,,,RCB,Royal Challengers Bangalore,10001,,,12,,271,234,,115.81,,,,,,,,,,28,3,28,3,12,0,22.58,1,0,,66,22.58,,
Andrew Symonds,0,8,,,,10001,,,DEC,Deccan Chargers,10001,,,8,,249,166,,150.00,,,,,,,,,,15,11,15,11,7,1,35.57,1,0,,60*,35.57,,
Virat Kohli,2,16,,,,10001,,,RCB,Royal Challengers Bangalore,10001,,,13,,246,219,,112.32,,,,,,,,,,22,8,22,8,11,2,22.36,1,0,,50,22.36,,
Yusuf Pathan,226,13,,,,10001,,,RR,Rajasthan Royals,10001,,,13,,243,183,,132.78,,,,,,,,,,24,12,24,12,12,1,20.25,1,0,,62*,20.25,,
Tirumalasetti Suman,0,12,,,,10001,,,DEC,Deccan Chargers,10001,,,12,,237,190,,124.73,,,,,,,,,,18,8,18,8,10,2,23.70,0,0,,41*,23.70,,
Sanath Jayasuriya,0,12,,,,10001,,,MI,Mumbai Indians,10001,,,12,,221,192,,115.10,,,,,,,,,,23,7,23,7,12,0,18.41,2,0,,52,18.41,,
Mahela Jayawardena,0,10,,,,10001,,,PBKS,Punjab Kings,10001,,,10,,219,165,,132.72,,,,,,,,,,17,7,17,7,6,4,36.50,1,0,,52*,36.50,,
Dwayne Bravo,93,11,,,,10001,,,MI,Mumbai Indians,10001,,,10,,218,203,,107.38,,,,,,,,,,15,8,15,8,8,2,27.25,2,0,,70*,27.25,,
Dwayne Smith,0,8,,,,10001,,,DEC,Deccan Chargers,10001,,,8,,215,132,,162.87,,,,,,,,,,12,15,12,15,8,0,26.87,0,0,,49,26.87,,
Graeme Smith,0,12,,,,10001,,,RR,Rajasthan Royals,10001,,,12,,212,216,,98.14,,,,,,,,,,27,1,27,1,11,1,19.27,1,0,,77,19.27,,
