StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Robin Uthappa,153,16,,,,10006,,,KKR,Kolkata Knight Riders,10006,,,16,,660,479,,137.78,,,,,,,,,,74,18,74,18,15,1,44.00,5,0,,83*,44.00,,
Dwayne Smith,0,16,,,,10006,,,CSK,Chennai Super Kings,10006,,,16,,566,416,,136.05,,,,,,,,,,50,34,50,34,16,0,35.37,5,0,,79,35.37,,
Glenn Maxwell,28,16,,,,10006,,,PBKS,Punjab Kings,10006,,,16,,552,294,,187.75,,,,,,,,,,48,36,48,36,16,0,34.50,4,0,,95,34.50,,
David Warner,214,14,,,,10006,,,SRH,Sunrisers Hyderabad,10006,,,14,,528,375,,140.80,,,,,,,,,,39,24,39,24,11,3,48.00,6,0,,90,48.00,,
Suresh Raina,106,16,,,,10006,,,CSK,Chennai Super Kings,10006,,,16,,523,358,,146.08,,,,,,,,,,51,19,51,19,13,3,40.23,5,0,,87,40.23,,
Virender Sehwag,461,17,,,,10006,,,PBKS,Punjab Kings,10006,,,17,,455,315,,144.44,,,,,,,,,,56,18,56,18,17,0,26.76,1,1,,122,26.76,,
David Miller,128,16,,,,10006,,,PBKS,Punjab Kings,10006,,,16,,446,299,,149.16,,,,,,,,,,34,21,34,21,10,6,44.60,3,0,,66,44.60,,
JP Duminy,0,14,,,,10006,,,DC,Delhi Capitals,10006,,,14,,410,305,,134.42,,,,,,,,,,22,20,22,20,8,6,51.25,2,0,,67*,51.25,,
Brendon McCullum,0,14,,,,10006,,,CSK,Chennai Super Kings,10006,,,14,,405,333,,121.62,,,,,,,,,,32,19,32,19,13,1,31.15,3,0,,71*,31.15,,
Manish Pandey,16,16,,,,10006,,,KKR,Kolkata Knight Riders,10006,,,16,,401,340,,117.94,,,,,,,,,,35,10,35,10,13,3,30.84,2,0,,94,30.84,,
