StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Mahela Jayawardena,0,13,,,,10000,,,PBKS,Punjab Kings,10000,,,12,,179,131,,136.64,,,,,,,,,,15,7,15,7,7,5,25.57,0,0,,45*,25.57,,
Dwayne Bravo,93,9,,,,10000,,,MI,Mumbai Indians,10000,,,7,,178,134,,132.83,,,,,,,,,,19,5,19,5,6,1,29.66,1,0,,64*,29.66,,
Mohammad Kaif,465,16,,,,10000,,,RR,Rajasthan Royals,10000,,,14,,176,171,,102.92,,,,,,,,,,14,6,14,6,11,3,16.00,0,0,,34*,16.00,,
Michael Hussey,0,4,,,,10000,,,CSK,Chennai Super Kings,10000,,,3,,168,100,,168.00,,,,,,,,,,12,11,12,11,2,1,84.00,0,1,,116*,84.00,,
Herschelle Gibbs,471,9,,,,10000,,,DEC,Deccan Chargers,10000,,,9,,167,153,,109.15,,,,,,,,,,17,8,17,8,9,0,18.55,0,0,,47,18.55,,
Virat Kohli,2,13,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,12,,165,157,,105.09,,,,,,,,,,18,4,18,4,11,1,15.00,0,0,,38,15.00,,
Laxmi Ratan Shukla,0,13,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,12,,163,122,,133.60,,,,,,,,,,17,5,17,5,8,4,20.37,0,0,,42,20.37,,
Andrew Symonds,0,4,,,,10000,,,DEC,Deccan Chargers,10000,,,3,,161,105,,153.33,,,,,,,,,,15,9,15,9,2,1,80.50,0,1,,117*,80.50,,
Wriddhiman Saha,225,12,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,10,,159,119,,133.61,,,,,,,,,,12,7,12,7,5,5,31.80,1,0,,59*,31.80,,
VVS Laxman,0,6,,,,10000,,,DEC,Deccan Chargers,10000,,,6,,155,132,,117.42,,,,,,,,,,22,1,22,1,5,1,31.00,1,0,,52,31.00,,
Luke Pomersbach,0,5,,,,10000,,,PBKS,Punjab Kings,10000,,,5,,152,99,,153.53,,,,,,,,,,13,9,13,9,1,4,152.00,1,0,,79*,152.00,,
Ross Taylor,78,4,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,4,,149,81,,183.95,,,,,,,,,,13,10,13,10,4,0,37.25,1,0,,53,37.25,,
Shaun Pollock,0,13,,,,10000,,,MI,Mumbai Indians,10000,,,8,,147,111,,132.43,,,,,,,,,,12,8,12,8,8,0,18.37,0,0,,33,18.37,,
Vidyut Sivaramakrishnan,0,9,,,,10000,,,CSK,Chennai Super Kings,10000,,,8,,145,109,,133.02,,,,,,,,,,21,3,21,3,8,0,18.12,1,0,,54,18.12,,
Dinesh Karthik,13,13,,,,10000,,,DC,Delhi Capitals,10000,,,8,,145,107,,135.51,,,,,,,,,,13,4,13,4,6,2,24.16,1,0,,56*,24.16,,
